Entity,Code,Year,reserves|Tungsten|Mine|tonnes
Australia,AUS,2023,570000
Austria,AUT,2022,10000
Austria,AUT,2023,10000
China,CHN,2022,1800000
China,CHN,2023,2300000
North Korea,PRK,2023,29000
Other,,2022,1400000
Other,,2023,950000
Portugal,PRT,2022,3100
Portugal,PRT,2023,4000
Russia,RUS,2022,400000
Russia,RUS,2023,400000
Spain,ESP,2022,56000
Spain,ESP,2023,66000
Vietnam,VNM,2022,100000
Vietnam,VNM,2023,74000
World,OWID_WRL,2022,3800000
World,OWID_WRL,2023,4400000
