Entity,Code,Year,"production|Platinum group metals|Mine, platinum|tonnes"
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0.03
Australia,AUS,1974,0.06
Australia,AUS,1975,0.01
Australia,AUS,1976,0.098
Australia,AUS,1977,0.115
Australia,AUS,1978,0.092
Australia,AUS,1979,0.086
Australia,AUS,1980,0.064
Australia,AUS,1981,0.065
Australia,AUS,1982,0.074
Australia,AUS,1983,0.052
Australia,AUS,1984,0.066
Australia,AUS,1985,0.095
Australia,AUS,1986,0.115
Australia,AUS,1987,0.084
Australia,AUS,1988,0.073
Australia,AUS,1989,0.075
Australia,AUS,1990,0.1
Australia,AUS,1991,0.1
Australia,AUS,1992,0.15
Australia,AUS,1993,0.079
Australia,AUS,1994,0.113
Australia,AUS,1995,0.074
Australia,AUS,1996,0.119
Australia,AUS,1997,0.315
Australia,AUS,1998,0.155
Australia,AUS,1999,0.09
Australia,AUS,2000,0.171
Australia,AUS,2001,0.174
Australia,AUS,2002,0.122
Australia,AUS,2003,0.133
Australia,AUS,2004,0.196
Australia,AUS,2005,0.058
Australia,AUS,2018,0.111
Australia,AUS,2019,0.099
Australia,AUS,2020,0.107
Australia,AUS,2021,0.09
Australia,AUS,2022,0.1
Botswana,BWA,2001,0.2
Botswana,BWA,2002,0.3
Botswana,BWA,2003,0.5
Botswana,BWA,2004,0.5
Botswana,BWA,2005,0.3
Botswana,BWA,2006,0.3
Botswana,BWA,2007,0.529
Botswana,BWA,2008,0.591
Botswana,BWA,2009,0.746
Botswana,BWA,2010,0.498
Botswana,BWA,2011,0.373
Botswana,BWA,2012,0.435
Botswana,BWA,2013,0.218
Botswana,BWA,2014,0.124
Botswana,BWA,2015,0.031
Canada,CAN,1986,5.242
Canada,CAN,1987,4.354
Canada,CAN,1988,5.781
Canada,CAN,1989,4.467
Canada,CAN,1990,5.044
Canada,CAN,1991,4.683
Canada,CAN,1992,4.8
Canada,CAN,1993,5
Canada,CAN,1994,5.7
Canada,CAN,1995,6.3
Canada,CAN,1996,5.4
Canada,CAN,1997,4.6
Canada,CAN,1998,5.5
Canada,CAN,1999,5.4
Canada,CAN,2000,6
Canada,CAN,2001,8.1
Canada,CAN,2002,9.5
Canada,CAN,2003,7.2
Canada,CAN,2004,9.1
Canada,CAN,2005,7.9
Canada,CAN,2006,8.5
Canada,CAN,2007,8.1
Canada,CAN,2008,8.5
Canada,CAN,2009,4
Canada,CAN,2010,3.5
Canada,CAN,2011,8.3
Canada,CAN,2012,8.2
Canada,CAN,2013,9.7
Canada,CAN,2014,12
Canada,CAN,2015,11.9
Canada,CAN,2016,11.3
Canada,CAN,2017,9.8
Canada,CAN,2018,8.2
Canada,CAN,2019,7.755
Canada,CAN,2020,7
Canada,CAN,2021,6
Canada,CAN,2022,5.4
Canada,CAN,2023,5.5
China,CHN,2000,0.4
China,CHN,2001,0.7
China,CHN,2002,0.8
China,CHN,2003,0.9
China,CHN,2004,1.2
China,CHN,2005,1.2
China,CHN,2006,1.1
China,CHN,2007,1.3
China,CHN,2008,1.4
China,CHN,2009,1.4
China,CHN,2010,1.4
China,CHN,2011,1.6
China,CHN,2012,1.4
China,CHN,2013,1.6
China,CHN,2014,1.6
China,CHN,2015,2.3
China,CHN,2016,2.9
China,CHN,2017,2.5
China,CHN,2018,2.5
China,CHN,2019,2.5
China,CHN,2020,2.5
China,CHN,2021,5.3
China,CHN,2022,2.8
Colombia,COL,1970,0.82
Colombia,COL,1971,0.797
Colombia,COL,1972,0.74
Colombia,COL,1973,0.82
Colombia,COL,1974,0.656
Colombia,COL,2018,0.27
Colombia,COL,2019,0.178
Colombia,COL,2020,0.414
Colombia,COL,2021,0.618
Colombia,COL,2022,0.31
East Germany,OWID_GDR,1985,2.148
East Germany,OWID_GDR,1986,2
East Germany,OWID_GDR,1987,2
Ethiopia,ETH,1970,0.008
Ethiopia,ETH,1971,0.006
Ethiopia,ETH,1972,0.007
Ethiopia,ETH,1973,0.009
Ethiopia,ETH,1974,0.007
Ethiopia,ETH,2005,0
Ethiopia,ETH,2006,0.004
