Entity,Code,Year,"reserves|Platinum group metals|Mine, platinum|tonnes"
Canada,CAN,2022,310
Canada,CAN,2023,310
Russia,RUS,2022,5500
Russia,RUS,2023,5500
South Africa,ZAF,2022,63000
South Africa,ZAF,2023,63000
United States,USA,2022,900
United States,USA,2023,820
World,OWID_WRL,2022,70000
World,OWID_WRL,2023,71000
Zimbabwe,ZWE,2022,1200
Zimbabwe,ZWE,2023,1200
