Activity,Flow Name,Flow Location,LCIA Method,Unit,Absolute Contribution,Percentage Contribution
Copper,gold mine operation and refining,CD,Total EQ,PDF.m2.yr,0.01945050148069933,0.049425604900010495
Copper,"platinum group metal, extraction and refinery operations",US,Total EQ,PDF.m2.yr,0.017301648021442434,0.04396516049087059
Copper,treatment of copper cake,US,Total EQ,PDF.m2.yr,0.016468199892968594,0.04184728821166599
Copper,"market group for transport, freight train",GLO,Total EQ,PDF.m2.yr,0.014125907564166575,0.03589529693172025
Copper,"platinum group metal, extraction and refinery operations",CD,Total EQ,PDF.m2.yr,0.013934097694933633,0.03540788950821308
Copper,treatment of copper cake,CD,Total EQ,PDF.m2.yr,0.013184504947337377,0.03350310185965967
Copper,gold mine operation and refining,RU,Total EQ,PDF.m2.yr,0.011038902661905672,0.02805091899756032
Copper,"platinum group metal mine operation, ore with high palladium content",CA,Total EQ,PDF.m2.yr,0.010465496899065608,0.026593839512507204
Copper,treatment of copper scrap by electrolytic refining,ZM,Total EQ,PDF.m2.yr,0.010423772725952645,0.0264878143543843
Copper,"electrorefining of copper, anode",ZA,Total EQ,PDF.m2.yr,0.00870285313101386,0.022114791270710456
Copper,"electrorefining of copper, anode",BE,Total EQ,PDF.m2.yr,0.007715437317333669,0.019605672216509863
Copper,treatment of copper cake,RU,Total EQ,PDF.m2.yr,0.0073356909285969,0.018640699925665128
Copper,"platinum group metal, extraction and refinery operations",RU,Total EQ,PDF.m2.yr,0.007228349433447256,0.018367934807814196
Copper,gold mine operation and refining,CL,Total EQ,PDF.m2.yr,0.004962087313597312,0.01260914364005371
Copper,"platinum group metal mine operation, ore with high palladium content",US,Total EQ,PDF.m2.yr,0.004734412656887098,0.012030600323858453
Copper,treatment of copper scrap by electrolytic refining,BR,Total EQ,PDF.m2.yr,0.003927895973449803,0.009981163450449606
Copper,treatment of copper scrap by electrolytic refining,DE,Total EQ,PDF.m2.yr,0.0036652494340296132,0.009313753198913479
Copper,"platinum group metal, extraction and refinery operations",CL,Total EQ,PDF.m2.yr,0.003319186276098199,0.008434373254322301
Copper,treatment of copper cake,CL,Total EQ,PDF.m2.yr,0.0032303336612078,0.008208590168870062
Copper,cobalt production,CA,Total EQ,PDF.m2.yr,0.0027573147497798015,0.007006603379497435
Copper,"copper production, cathode, solvent extraction and electrowinning process",ZA,Total EQ,PDF.m2.yr,0.002609440673054687,0.006630841052833424
Copper,"platinum group metal mine operation, ore with high palladium content",CD,Total EQ,PDF.m2.yr,0.0025865312485265778,0.006572625990032266
Copper,"market for transport, freight, sea, container ship",GLO,Total EQ,PDF.m2.yr,0.0025548128976822754,0.006492026593740811
Copper,"platinum group metal mine operation, ore with high palladium content",RU,Total EQ,PDF.m2.yr,0.002384554574040936,0.006059383731366017
Copper,gold mine operation and refining,MX,Total EQ,PDF.m2.yr,0.00228993072997365,0.005818935394564485
Copper,"copper production, cathode, solvent extraction and electrowinning process",BE,Total EQ,PDF.m2.yr,0.0021646399861154917,0.005500559500261368
Copper,"electrorefining of copper, anode",KR,Total EQ,PDF.m2.yr,0.0021371044686351926,0.005430589087979244
Copper,gold mine operation and refining,RoW,Total EQ,PDF.m2.yr,0.00206489855705875,0.005247106885190608
Copper,"platinum group metal, extraction and refinery operations",MX,Total EQ,PDF.m2.yr,0.0015318732741437526,0.003892638103950436
Copper,treatment of copper cake,MX,Total EQ,PDF.m2.yr,0.0014894258574118463,0.003784775113862539
Copper,"platinum group metal, extraction and refinery operations",RoW,Total EQ,PDF.m2.yr,0.0013395754496824419,0.003403990739028378
Copper,treatment of copper cake,RoW,Total EQ,PDF.m2.yr,0.001317919130566065,0.0033489599382391685
Copper,primary zinc production from concentrate,CA,Total EQ,PDF.m2.yr,0.001162839047722612,0.0029548864532913744
Copper,"market group for transport, freight, inland waterways, barge",GLO,Total EQ,PDF.m2.yr,0.0011494130120708625,0.00292076959855859
