REF_DATE,GEO,North American Industry Classification System (NAICS),Energy types,UOM,VALUE
2019,Canada,"Copper, nickel, lead and zinc ore mining [21223]","Diesel fuel, quantity purchased (litres)",Litres,355772763.0
2019,Canada,"Copper, nickel, lead and zinc ore mining [21223]","Light Fuel Oil, quantity purchased (litres)",Litres,
2019,Canada,"Copper, nickel, lead and zinc ore mining [21223]","Heavy Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,"Copper, nickel, lead and zinc ore mining [21223]","Propane, quantity purchased (litres)",Litres,31980282.0
2019,Canada,"Copper, nickel, lead and zinc ore mining [21223]","Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,"Copper, nickel, lead and zinc ore mining [21223]","Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,4561153435.0
2019,Canada,"Copper, nickel, lead and zinc ore mining [21223]","Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,"Copper, nickel, lead and zinc ore mining [21223]","Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,"Copper, nickel, lead and zinc ore mining [21223]","Water, quantity purchased (litres)",Litres,
2019,Canada,Lead-zinc ore mining [212231],"Coal, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Lead-zinc ore mining [212231],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Lead-zinc ore mining [212231],"Coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Lead-zinc ore mining [212231],"Natural gas, quantity purchased (cubic metres)",Cubic metres,0.0
2019,Canada,Lead-zinc ore mining [212231],"Gasoline - aviation, quantity purchased (litres)",Litres,0.0
2019,Canada,Lead-zinc ore mining [212231],"Gasoline - motor, quantity purchased (litres)",Litres,
2019,Canada,Lead-zinc ore mining [212231],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,Lead-zinc ore mining [212231],"Diesel fuel, quantity purchased (litres)",Litres,
2019,Canada,Lead-zinc ore mining [212231],"Light Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,Lead-zinc ore mining [212231],"Heavy Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,Lead-zinc ore mining [212231],"Propane, quantity purchased (litres)",Litres,
2019,Canada,Lead-zinc ore mining [212231],"Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,Lead-zinc ore mining [212231],"Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,
2019,Canada,Lead-zinc ore mining [212231],"Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,Lead-zinc ore mining [212231],"Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,Lead-zinc ore mining [212231],"Water, quantity purchased (litres)",Litres,0.0
2019,Canada,Nickel-copper ore mining [212232],"Coal, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Nickel-copper ore mining [212232],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
