REF_DATE,GEO,Products,Variables,UOM,VALUE,TYPE
2021,Canada,"Tantalum, concentrates (kilograms)",Quantity produced,Kilograms,5492000.0,Metals
2022,Canada,"Tantalum, concentrates (kilograms)",Quantity produced,Kilograms,12069000.0,Metals
2023,Canada,"Titanium dioxide, recoverable (tonnes)",Quantity produced,Tonnes,0.0,Metals
2019,Canada,"Titanium dioxide, recoverable (tonnes)",Quantity produced,Tonnes,0.0,Metals
2020,Canada,"Titanium dioxide, recoverable (tonnes)",Quantity produced,Tonnes,0.0,Metals
2021,Canada,"Titanium dioxide, recoverable (tonnes)",Quantity produced,Tonnes,0.0,Metals
2022,Canada,"Titanium dioxide, recoverable (tonnes)",Quantity produced,Tonnes,0.0,Metals
2021,Canada,"Uranium, concentrates (tonnes)",Quantity produced,Tonnes,5470.0,Metals
2022,Canada,"Uranium, concentrates (tonnes)",Quantity produced,Tonnes,8599.0,Metals
2019,Canada,"Uranium, concentrates (tonnes)",Quantity produced,Tonnes,8228.0,Metals
2020,Canada,"Uranium, concentrates (tonnes)",Quantity produced,Tonnes,4259.0,Metals
2019,Canada,"Uranium, recoverable (tonnes)",Quantity produced,Tonnes,6979.0,Metals
2020,Canada,"Uranium, recoverable (tonnes)",Quantity produced,Tonnes,3613.0,Metals
2021,Canada,"Uranium, recoverable (tonnes)",Quantity produced,Tonnes,4768.0,Metals
2022,Canada,"Uranium, recoverable (tonnes)",Quantity produced,Tonnes,7368.0,Metals
2023,Canada,"Uranium, recoverable (tonnes)",Quantity produced,Tonnes,11373.0,Metals
2019,Canada,Wollastonite (tonnes),Quantity produced,Tonnes,0.0,Non_metals
2020,Canada,Wollastonite (tonnes),Quantity produced,Tonnes,0.0,Non_metals
2021,Canada,Wollastonite (tonnes),Quantity produced,Tonnes,0.0,Non_metals
2022,Canada,Wollastonite (tonnes),Quantity produced,Tonnes,0.0,Non_metals
2023,Canada,Wollastonite (tonnes),Quantity produced,Tonnes,0.0,Non_metals
2023,Canada,Zeolite (tonnes),Quantity produced,Tonnes,0.0,Non_metals
2022,Canada,Zeolite (tonnes),Quantity produced,Tonnes,510.0,Non_metals
2019,Canada,Zeolite (tonnes),Quantity produced,Tonnes,1059.0,Non_metals
2020,Canada,Zeolite (tonnes),Quantity produced,Tonnes,0.0,Non_metals
2021,Canada,Zeolite (tonnes),Quantity produced,Tonnes,1200.0,Non_metals
2019,Canada,"Zinc, concentrates (tonnes)",Quantity produced,Tonnes,598868.0,Metals
2020,Canada,"Zinc, concentrates (tonnes)",Quantity produced,Tonnes,393440.0,Metals
2021,Canada,"Zinc, concentrates (tonnes)",Quantity produced,Tonnes,430236.0,Metals
2022,Canada,"Zinc, concentrates (tonnes)",Quantity produced,Tonnes,432092.0,Metals
2022,Canada,"Zinc, recoverable (tonnes)",Quantity produced,Tonnes,180256.0,Metals
2019,Canada,"Zinc, recoverable (tonnes)",Quantity produced,Tonnes,269353.0,Metals
2020,Canada,"Zinc, recoverable (tonnes)",Quantity produced,Tonnes,246995.0,Metals
2021,Canada,"Zinc, recoverable (tonnes)",Quantity produced,Tonnes,230187.0,Metals
2023,Canada,"Zinc, recoverable (tonnes)",Quantity produced,Tonnes,0.0,Metals
