OBJECTID,Count,Project Name / Nom du projet,Province / Territory,Province / Territoire,Commodity Group,Groupe de produits minéraux
1,1,Kingsway,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Gold,Or
2,2,Queensway,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Gold,Or
3,3,Central Mineral Belt,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Uranium,Uranium
4,4,Goldboro,Nova Scotia,Nouvelle-Écosse,Gold,Or
5,5,Fifteen Mile Stream,Nova Scotia,Nouvelle-Écosse,Gold,Or
6,6,Clarence Stream,New Brunswick,Nouveau-Brunswick,Gold,Or
7,7,Strange Lake,Quebec,Québec,Rare earth elements,Éléments des terres rares
8,8,Adina,Quebec,Québec,Lithium,Lithium
9,9,Matawinie,Quebec,Québec,Graphite,Graphite
10,10,Corvette,Quebec,Québec,Lithium,Lithium
11,11,Troilus,Quebec,Québec,Gold,Or
12,12,Frotet,Quebec,Québec,Gold,Or
13,13,Urban Barry,Quebec,Québec,Gold,Or
14,14,Windfall,Quebec,Québec,Gold,Or
15,15,Eau Claire,Quebec,Québec,Gold,Or
16,16,Barry,Quebec,Québec,Gold,Or
17,17,Desmaraisville South,Quebec,Québec,Gold,Or
18,18,Rose,Quebec,Québec,Lithium,Lithium
19,19,Rupert,Quebec,Québec,Lithium,Lithium
20,20,James Bay,Quebec,Québec,Lithium,Lithium
21,21,Val-d'Or East,Quebec,Québec,Gold,Or
22,22,Elmer,Quebec,Québec,Gold,Or
23,23,Marban,Quebec,Québec,Gold,Or
24,24,Fenelon,Quebec,Québec,Gold,Or
25,25,Grasset,Quebec,Québec,Nickel,Nickel
26,26,Martiniere,Quebec,Québec,Gold,Or
27,27,Duparquet,Quebec,Québec,Gold,Or
28,28,Perron,Quebec,Québec,Gold,Or
29,29,Larder Lake,Ontario,Ontario,Gold,Or
30,30,Tower gold,Ontario,Ontario,Gold,Or
31,31,Fenn-Gib,Ontario,Ontario,Gold,Or
32,32,Bradshaw,Ontario,Ontario,Gold,Or
33,33,Edleston,Ontario,Ontario,Nickel,Nickel
34,34,Crawford,Ontario,Ontario,Nickel,Nickel
35,35,Wawa,Ontario,Ontario,Gold,Or
36,36,Golden Sky,Ontario,Ontario,Gold,Or
37,37,Eagle's Nest,Ontario,Ontario,Nickel,Nickel
38,38,Marathon,Ontario,Ontario,Palladium,Palladium
39,39,Junior Lake,Ontario,Ontario,Gold,Or
40,40,Seymour,Ontario,Ontario,Lithium,Lithium
41,41,Moss Lake,Ontario,Ontario,Gold,Or
42,42,Root,Ontario,Ontario,Lithium,Lithium
43,43,Springpole,Ontario,Ontario,Gold,Or
44,44,Goliath,Ontario,Ontario,Gold,Or
45,45,Mavis Lake,Ontario,Ontario,Lithium,Lithium
46,46,Pakeagama Lake,Ontario,Ontario,Lithium,Lithium
47,47,Great Bear,Ontario,Ontario,Gold,Or
48,48,Madsen,Ontario,Ontario,Gold,Or
49,49,Rowan,Ontario,Ontario,Gold,Or
50,50,Snow Lake,Manitoba,Manitoba,Lithium,Lithium
51,51,Lynn Lake,Manitoba,Manitoba,Gold,Or
52,52,Pine Bay,Manitoba,Manitoba,Copper,Cuivre
53,53,McIlvenna Bay,Saskatchewan,Saskatchewan,Copper,Cuivre
54,54,Wynyard,Saskatchewan,Saskatchewan,Potash,Potasse
55,55,Roughrider,Saskatchewan,Saskatchewan,Uranium,Uranium
56,56,Star - Orion South,Saskatchewan,Saskatchewan,Diamonds,Diamants
