Entity,Code,Year,Rock-to-metal ratio
Aluminum,,2022,7
Boron,,2022,38
Chromium,,2022,18
Cobalt,,2022,859
Copper,,2022,513
Gold,,2022,3046349
Graphite,,2022,9
Iron,,2022,9
Lead,,2022,50
Lithium,,2022,1634
Magnesium,,2022,10
Manganese,,2022,11
Molybdenum,,2022,4478
Nickel,,2022,250
Niobium,,2022,479
Phosphate,,2022,41
Silicon,,2022,3
Silver,,2022,22378
Tin,,2022,2231
Titanium,,2022,99
Tungsten,,2022,1081
Uranium,,2022,3624
Zinc,,2022,71
