Entity,Code,Year,"production|Platinum group metals|Mine, rhodium|tonnes"
Canada,CAN,2018,0.75
Canada,CAN,2019,0.323
Canada,CAN,2020,0.168
Canada,CAN,2021,0.204
Canada,CAN,2022,0.221
Russia,RUS,2018,2.5
Russia,RUS,2019,2.5
Russia,RUS,2020,2.5
Russia,RUS,2021,2.3
Russia,RUS,2022,2.3
South Africa,ZAF,2018,18.608
South Africa,ZAF,2019,18.545
South Africa,ZAF,2020,16.972
South Africa,ZAF,2021,22.256
South Africa,ZAF,2022,18.8
United States,USA,1970,0.002
United States,USA,1971,0.003
United States,USA,1972,0.002
United States,USA,1973,0.003
United States,USA,1974,0.001
United States,USA,1975,0.001
United States,USA,1976,0.001
United States,USA,2018,0.1
United States,USA,2019,0.1
United States,USA,2020,0.1
United States,USA,2021,0.1
United States,USA,2022,0.1
Zimbabwe,ZWE,2018,1.334
Zimbabwe,ZWE,2019,1.224
Zimbabwe,ZWE,2020,1.368
Zimbabwe,ZWE,2021,1.333
Zimbabwe,ZWE,2022,1.461
