Entity,Code,Year,reserves|Helium|Mine|tonnes
Algeria,DZA,2022,321300
Algeria,DZA,2023,321300
Poland,POL,2022,4284
Poland,POL,2023,4284
Russia,RUS,2022,303450
Russia,RUS,2023,303450
United States,USA,2022,1528138.5
United States,USA,2023,1526532
