Entity,Code,Year,production|Helium|Mine|tonnes
Algeria,DZA,2013,3034.5
Algeria,DZA,2014,2856
Algeria,DZA,2015,1785
Algeria,DZA,2016,1785
Algeria,DZA,2017,2499
Algeria,DZA,2018,2499
Algeria,DZA,2019,2499
Algeria,DZA,2020,2499
Algeria,DZA,2021,2499
Algeria,DZA,2022,1428
Algeria,DZA,2023,1785
Australia,AUS,2013,1071
Australia,AUS,2014,892.5
Australia,AUS,2015,714
Australia,AUS,2016,714
Australia,AUS,2017,714
Australia,AUS,2018,714
Australia,AUS,2019,714
Australia,AUS,2020,714
Australia,AUS,2021,714
Australia,AUS,2022,535.5
Australia,AUS,2023,178.5
Canada,CAN,2020,178.5
Canada,CAN,2021,178.5
Canada,CAN,2022,535.5
Canada,CAN,2023,714
China,CHN,2020,178.5
China,CHN,2021,178.5
China,CHN,2022,178.5
Poland,POL,2013,178.5
Poland,POL,2014,714
Poland,POL,2015,714
Poland,POL,2016,714
Poland,POL,2017,714
Poland,POL,2018,714
Poland,POL,2019,714
Poland,POL,2020,178.5
Poland,POL,2021,178.5
Poland,POL,2022,535.5
Poland,POL,2023,535.5
Qatar,QAT,2013,4462.5
Qatar,QAT,2014,6247.5
Qatar,QAT,2015,8746.5
Qatar,QAT,2016,8925
Qatar,QAT,2017,8032.5
Qatar,QAT,2018,8032.5
Qatar,QAT,2019,8032.5
Qatar,QAT,2020,9103.5
Qatar,QAT,2021,10888.5
Qatar,QAT,2022,10531.5
Qatar,QAT,2023,11781
Russia,RUS,2012,892.5
Russia,RUS,2013,714
Russia,RUS,2014,714
Russia,RUS,2015,892.5
Russia,RUS,2016,892.5
Russia,RUS,2017,892.5
Russia,RUS,2018,892.5
Russia,RUS,2019,892.5
Russia,RUS,2020,892.5
Russia,RUS,2021,892.5
Russia,RUS,2022,892.5
Russia,RUS,2023,1428
South Africa,ZAF,2021,178.5
South Africa,ZAF,2022,178.5
South Africa,ZAF,2023,89.25
United States,USA,1935,49
United States,USA,1936,22.4
United States,USA,1937,23.1
United States,USA,1938,29.2
United States,USA,1939,30.1
United States,USA,1940,45.3
United States,USA,1941,77.5
United States,USA,1942,159
United States,USA,1943,558
United States,USA,1944,608
United States,USA,1945,454
United States,USA,1946,279
United States,USA,1947,337
United States,USA,1948,303
United States,USA,1949,264
United States,USA,1950,390
United States,USA,1951,537
United States,USA,1952,693
United States,USA,1953,772
United States,USA,1954,914
United States,USA,1955,1060
United States,USA,1956,1170
United States,USA,1957,1400
United States,USA,1958,1600
United States,USA,1959,2290
United States,USA,1960,3080
United States,USA,1961,3490
United States,USA,1962,3420
United States,USA,1963,10700
United States,USA,1964,19300
United States,USA,1965,20900
United States,USA,1966,22100
United States,USA,1967,22500
United States,USA,1968,22300
United States,USA,1969,22300
United States,USA,1970,22100
United States,USA,1971,21900
United States,USA,1972,19600
United States,USA,1973,15400
United States,USA,1974,4240
United States,USA,1975,5170
United States,USA,1976,6690
United States,USA,1977,6370
United States,USA,1978,6550
United States,USA,1979,7280
United States,USA,1980,6540
United States,USA,1981,5110
United States,USA,1982,1110
United States,USA,1983,2760
United States,USA,1984,5630
United States,USA,1985,4780
United States,USA,1986,4770
United States,USA,1987,9240
United States,USA,1988,10700
United States,USA,1989,11200
United States,USA,1991,14600
United States,USA,1992,15600
United States,USA,1993,16800
United States,USA,1995,17100
United States,USA,1996,17400
United States,USA,1997,19600
United States,USA,1998,19300
United States,USA,1999,19300
United States,USA,2000,16600
United States,USA,2001,14700
United States,USA,2002,14800
United States,USA,2003,14700
United States,USA,2004,14600
United States,USA,2005,12900
United States,USA,2006,13400
United States,USA,2007,13000
United States,USA,2008,13500
United States,USA,2009,13200
United States,USA,2010,12700
United States,USA,2011,12000
United States,USA,2012,12400
United States,USA,2013,11700
United States,USA,2014,12700
United States,USA,2015,12000
United States,USA,2016,11300
United States,USA,2017,12300
United States,USA,2018,10400
United States,USA,2019,10900
United States,USA,2020,14815.5
United States,USA,2021,13566
United States,USA,2022,13744.5
United States,USA,2023,14101.5
World,OWID_WRL,1935,49
World,OWID_WRL,1936,22.4
World,OWID_WRL,1937,23.1
World,OWID_WRL,1938,29.2
World,OWID_WRL,1939,30.1
World,OWID_WRL,1940,45.3
World,OWID_WRL,1941,77.5
World,OWID_WRL,1942,159
World,OWID_WRL,1943,558
World,OWID_WRL,1944,608
World,OWID_WRL,1945,454
World,OWID_WRL,1946,279
World,OWID_WRL,1947,337
World,OWID_WRL,1948,303
World,OWID_WRL,1949,264
World,OWID_WRL,1950,390
World,OWID_WRL,1951,537
World,OWID_WRL,1952,693
World,OWID_WRL,1953,772
World,OWID_WRL,1954,914
World,OWID_WRL,1955,1060
World,OWID_WRL,1956,1170
World,OWID_WRL,1957,1400
World,OWID_WRL,1958,1600
World,OWID_WRL,1959,2290
World,OWID_WRL,1960,3080
World,OWID_WRL,1961,3490
World,OWID_WRL,1962,3420
World,OWID_WRL,1963,10800
World,OWID_WRL,1964,19400
World,OWID_WRL,1965,21000
World,OWID_WRL,1966,22100
World,OWID_WRL,1967,22700
World,OWID_WRL,1968,22500
World,OWID_WRL,1969,22500
World,OWID_WRL,1970,22200
World,OWID_WRL,1971,22400
World,OWID_WRL,1972,20200
World,OWID_WRL,1973,16000
World,OWID_WRL,1974,4900
World,OWID_WRL,1975,5870
World,OWID_WRL,1976,7120
World,OWID_WRL,1977,7830
World,OWID_WRL,1978,8400
World,OWID_WRL,1979,8890
World,OWID_WRL,1980,7560
World,OWID_WRL,1981,5580
World,OWID_WRL,1982,1830
World,OWID_WRL,1983,3480
World,OWID_WRL,1984,8570
World,OWID_WRL,1985,9750
World,OWID_WRL,1986,10000
World,OWID_WRL,1987,11600
World,OWID_WRL,1988,13300
World,OWID_WRL,1989,14800
World,OWID_WRL,1991,15900
World,OWID_WRL,1992,16900
World,OWID_WRL,1993,16900
World,OWID_WRL,1995,18800
World,OWID_WRL,1996,18800
World,OWID_WRL,1997,23400
World,OWID_WRL,1998,22700
World,OWID_WRL,1999,22900
World,OWID_WRL,2000,19800
World,OWID_WRL,2001,17900
World,OWID_WRL,2002,18500
World,OWID_WRL,2003,24400
World,OWID_WRL,2004,26100
World,OWID_WRL,2005,27100
World,OWID_WRL,2006,28100
World,OWID_WRL,2007,28900
World,OWID_WRL,2008,29600
World,OWID_WRL,2009,24900
World,OWID_WRL,2010,28400
World,OWID_WRL,2011,29100
World,OWID_WRL,2012,29500
World,OWID_WRL,2013,28900
World,OWID_WRL,2014,27800
World,OWID_WRL,2015,26400
World,OWID_WRL,2016,27100
World,OWID_WRL,2017,28900
World,OWID_WRL,2018,27100
World,OWID_WRL,2019,26700
World,OWID_WRL,2020,28560
World,OWID_WRL,2021,29274
World,OWID_WRL,2022,28203
World,OWID_WRL,2023,30345
