Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Mine production, peat",350,360,Also estimated in 2022,150000,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Belarus,"Mine production, peat",2300,2300,Also estimated in 2022,2600000,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Canada,"Mine production, peat",2390,2400,,720000,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Estonia,"Mine production, peat",1130,1100,,570000,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Finland,"Mine production, peat",5870,5800,,6000000,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Germany,"Mine production, peat",2600,2600,Also estimated in 2022,,Included with “Other countries.”,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Latvia,"Mine production, peat",2440,2400,,150000,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Lithuania,"Mine production, peat",473,470,,210000,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Poland,"Mine production, peat",1100,1100,Also estimated in 2022,,Included with “Other countries.”,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Mine production, peat",1400,1400,Also estimated in 2022,1000000,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Sweden,"Mine production, peat",2560,2500,,,Included with “Other countries.”,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Ukraine,"Mine production, peat",440,440,,,Included with “Other countries.”,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countriese,"Mine production, peat",580,600,,1400000,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, peat",23600,23000,,13000000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
