Source,Country,Type,Prod_t_est_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Mine production, tin content",0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Australia,"Mine production, tin content",9000,9100,,620000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 320,000 tons. World Mine Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Indonesia, and Russia were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Bolivia,"Mine production, tin content",17600,18000,,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Brazil,"Mine production, tin content",17000,18000,Also estimated in 2022,420000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Burma,"Mine production, tin content",47000,54000,Also estimated in 2022,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Mine production, tin content",71000,68000,Also estimated in 2022,1100000,"World Mine Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Indonesia, and Russia were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Congo (Kinshasa),"Mine production, tin content",18600,19000,Also estimated in 2022,120000,"World Mine Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Indonesia, and Russia were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Indonesia,"Mine production, tin content",70000,52000,Also estimated in 2022,NA,"World Mine Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Indonesia, and Russia were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Laos,"Mine production, tin content",2510,2300,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Malaysia,"Mine production, tin content",5000,6100,Also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Nigeria,"Mine production, tin content",7000,8100,Also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Peru,"Mine production, tin content",28200,23000,,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Mine production, tin content",3700,2700,Also estimated in 2022,460000,"World Mine Production and Reserves: Reserves for Australia, China, Congo (Kinshasa), Indonesia, and Russia were revised based on company and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Rwanda,"Mine production, tin content",3300,3800,Also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Vietnam,"Mine production, tin content",5900,5300,Also estimated in 2022,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,"Mine production, tin content",1160,1300,,310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, tin content",307000,290000,,4300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
