Source,Country,Type,Prod_t_est_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes
MCS2024,United States,"Mine production, metric tons of contained cobalt",500,500,,69000,
MCS2024,Australia,"Mine production, metric tons of contained cobalt",5790,4600,,1700000,"Estimated from consumption of purchased scrap. Reserves for Australia, Canada, Congo (Kinshasa), Indonesia, Papua New Guinea, Turkey, and “Other countries” were revised based on company and Government reports."
MCS2024,Canada,"Mine production, metric tons of contained cobalt",3060,2100,,230000,"Reserves for Australia, Canada, Congo (Kinshasa), Indonesia, Papua New Guinea, Turkey, and “Other countries” were revised based on company and Government reports."
MCS2024,Congo (Kinshasa),"Mine production, metric tons of contained cobalt",144000,170000,,6000000,"Reserves for Australia, Canada, Congo (Kinshasa), Indonesia, Papua New Guinea, Turkey, and “Other countries” were revised based on company and Government reports."
MCS2024,Cuba,"Mine production, metric tons of contained cobalt",3700,3200,,500000,
MCS2024,Indonesia,"Mine production, metric tons of contained cobalt",9600,17000,,500000,"Reserves for Australia, Canada, Congo (Kinshasa), Indonesia, Papua New Guinea, Turkey, and “Other countries” were revised based on company and Government reports."
MCS2024,Madagascar,"Mine production, metric tons of contained cobalt",3500,4000,,100000,
MCS2024,New Caledonia11,"Mine production, metric tons of contained cobalt",2000,3000,Overseas territory of France.,NA,"Overseas territory of France. Reserves for Australia, Canada, Congo (Kinshasa), Indonesia, Papua New Guinea, Turkey, and “Other countries” were revised based on company and Government reports."
MCS2024,Papua New Guinea,"Mine production, metric tons of contained cobalt",2990,2900,,49000,
MCS2024,Philippines,"Mine production, metric tons of contained cobalt",3900,3800,,260000,
MCS2024,Russia,"Mine production, metric tons of contained cobalt",9200,8800,,250000,
MCS2024,Turkey,"Mine production, metric tons of contained cobalt",2100,2800,,91000,"Reserves for Australia, Canada, Congo (Kinshasa), Indonesia, Papua New Guinea, Turkey, and “Other countries” were revised based on company and Government reports."
MCS2024,Other countries,"Mine production, metric tons of contained cobalt",6600,6600,,780000,"Reserves for Australia, Canada, Congo (Kinshasa), Indonesia, Papua New Guinea, Turkey, and “Other countries” were revised based on company and Government reports."
MCS2024,World total (rounded),"Mine production, metric tons of contained cobalt",197000,230000,,11000000,
