Source,Country,Type,Prod_kg_2022,Prod_kg_est_2023,Prod_notes,Reserves_kg,Reserves_notes
MCS2024,United States,Primary and secondary refinery production,W,W,,NA,
MCS2024,Belgium,Primary and secondary refinery production,NA,NA,,NA,
MCS2024,Canada,Primary and secondary refinery production,NA,NA,,NA,
MCS2024,China,Primary and secondary refinery production,NA,NA,leading producer,NA,
MCS2024,Germany,Primary and secondary refinery production,NA,NA,,NA,
MCS2024,Russia,Primary and secondary refinery production,NA,NA,,NA,
MCS2024,Other countries,Primary and secondary refinery production,NA,NA,,NA,
MCS2024,World total (rounded),Primary and secondary refinery production,NA,NA,,NA,
