Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_t,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Production, all forms, contained sulfur",8640,8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Australia,"Production, all forms, contained sulfur",900,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Canada,"Production, all forms, contained sulfur",4900,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Chile,"Production, all forms, contained sulfur",1400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Production, all forms, contained sulfur",18800,19000,"Sulfur production in China includes byproduct elemental sulfur recovered from natural gas and petroleum, the estimated sulfur content of byproduct sulfuric acid from metallurgy, and the sulfur content of sulfuric acid from pyrite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Finland,"Production, all forms, contained sulfur",640,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Germany,"Production, all forms, contained sulfur",610,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,India,"Production, all forms, contained sulfur",3540,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Iran,"Production, all forms, contained sulfur",1600,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Japan,"Production, all forms, contained sulfur",3140,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Kazakhstan,"Production, all forms, contained sulfur",4300,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,"Korea, Republic of","Production, all forms, contained sulfur",3080,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Kuwait,"Production, all forms, contained sulfur",600,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Poland,"Production, all forms, contained sulfur",1050,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Qatar,"Production, all forms, contained sulfur",2100,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Production, all forms, contained sulfur",7530,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Saudi Arabia,"Production, all forms, contained sulfur",7500,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkmenistan,"Production, all forms, contained sulfur",860,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United Arab Emirates,"Production, all forms, contained sulfur",5400,5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,"Production, all forms, contained sulfur",5600,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Production, all forms, contained sulfur",82000,82000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
