Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_note,Reserves_kt,Reserves_notes
MCS2024,United States,"Mne production, grosss weight, marketable chromite ore",0,0,"Units are thousand metric tons, gross weight, of marketable chromite ore.",630,"Units are thousand metric tons of shipping-grade chromite ore, which is deposit quantity and grade normalized to 45% Cr2O3, except for the United States, where grade is normalized to 7% Cr2O3, and Finland, where grade is normalized to 26% Cr2O3."
MCS2024,Finland,"Mne production, grosss weight, marketable chromite ore",2000,2000,"Units are thousand metric tons, gross weight, of marketable chromite ore.",8300,"Units are thousand metric tons of shipping-grade chromite ore, which is deposit quantity and grade normalized to 45% Cr2O3, except for the United States, where grade is normalized to 7% Cr2O3, and Finland, where grade is normalized to 26% Cr2O3."
MCS2024,India,"Mne production, grosss weight, marketable chromite ore",4000,4200,"Units are thousand metric tons, gross weight, of marketable chromite ore.",79000,"Units are thousand metric tons of shipping-grade chromite ore, which is deposit quantity and grade normalized to 45% Cr2O3, except for the United States, where grade is normalized to 7% Cr2O3, and Finland, where grade is normalized to 26% Cr2O3. revised based on Government reports"
MCS2024,Kazakhstan,"Mne production, grosss weight, marketable chromite ore",6000,6000,"Units are thousand metric tons, gross weight, of marketable chromite ore.",230000,"Units are thousand metric tons of shipping-grade chromite ore, which is deposit quantity and grade normalized to 45% Cr2O3, except for the United States, where grade is normalized to 7% Cr2O3, and Finland, where grade is normalized to 26% Cr2O3."
MCS2024,South Africa,"Mne production, grosss weight, marketable chromite ore",19100,18000,"Units are thousand metric tons, gross weight, of marketable chromite ore.",200000,"Units are thousand metric tons of shipping-grade chromite ore, which is deposit quantity and grade normalized to 45% Cr2O3, except for the United States, where grade is normalized to 7% Cr2O3, and Finland, where grade is normalized to 26% Cr2O3."
MCS2024,Turkey,"Mne production, grosss weight, marketable chromite ore",5410,6000,"Units are thousand metric tons, gross weight, of marketable chromite ore.",27000,"Units are thousand metric tons of shipping-grade chromite ore, which is deposit quantity and grade normalized to 45% Cr2O3, except for the United States, where grade is normalized to 7% Cr2O3, and Finland, where grade is normalized to 26% Cr2O3. revised based on Government reports"
MCS2024,Other countries,"Mne production, grosss weight, marketable chromite ore",5380,5200,"Units are thousand metric tons, gross weight, of marketable chromite ore.",        NA,
MCS2024,World total (rounded),"Mne production, grosss weight, marketable chromite ore",41900,41000,"Units are thousand metric tons, gross weight, of marketable chromite ore.",560000,"Units are thousand metric tons of shipping-grade chromite ore, which is deposit quantity and grade normalized to 45% Cr2O3, except for the United States, where grade is normalized to 7% Cr2O3, and Finland, where grade is normalized to 26% Cr2O3."
