Source,Country,Type,Prod_t_2022,Prod_t_est_2023,Prod_note,Reserves_t,Reserves_notes,
MCS2024,United States,Refinery production,0,0,,NA,,
MCS2024,Bolivia,Refinery production,0,40,,NA,,
MCS2024,Bulgaria,Refinery production,50,50,,NA,,
MCS2024,China,Refinery production,15500,16000,,NA,,
MCS2024,Japan,Refinery production,490,500,,NA,,
MCS2024,Kazakhstan,Refinery production,190,160,,NA,,
MCS2024,"Korea, Republic of",Refinery production,810,850,,NA,,
MCS2024,Laos,Refinery production,1940,2000,Reported quantity in 2022,NA,,
MCS2024,World total (rounded),Refinery production,19000,20000,,NA,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
