Source,Country,Type,Prod_t_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes
MCS2024,United States,"mine production, silver content",1010,1000,,23000,
MCS2024,Argentina,"mine production, silver content",913,910,,6500,
MCS2024,Australia,"mine production, silver content",1167,1200,,94000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 27,000 tons. Reserves for Australia, China, India, Peru, Poland, and Russia were revised based on Government reports."
MCS2024,Bolivia,"mine production, silver content",1214,1200,,22000,
MCS2024,Chile,"mine production, silver content",1274,1400,,26000,
MCS2024,China,"mine production, silver content",3480,3400,,72000,"Reserves for Australia, China, India, Peru, Poland, and Russia were revised based on Government reports."
MCS2024,India,"mine production, silver content",694,690,,8000,"Reserves for Australia, China, India, Peru, Poland, and Russia were revised based on Government reports."
MCS2024,Kazakhstan,"mine production, silver content",1053,990,,NA,
MCS2024,Mexico,"mine production, silver content",6195,6400,,37000,
MCS2024,Peru,"mine production, silver content",3079,3100,,110000,"Reserves for Australia, China, India, Peru, Poland, and Russia were revised based on Government reports."
MCS2024,Poland,"mine production, silver content",1316,1300,,63000,"Reserves for Australia, China, India, Peru, Poland, and Russia were revised based on Government reports.  Revised March 5, 2024."
MCS2024,Russia,"mine production, silver content",1280,1200,,92000,"Reserves for Australia, China, India, Peru, Poland, and Russia were revised based on Government reports."
MCS2024,Other countries,"mine production, silver content",2940,3000,,57000,
MCS2024,World total (rounded),"mine production, silver content",25600,26000,,610000,"Revised March 5, 2024."
