Source,Country,Type,Prod_t_est_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes
,United States,,W,W,,NA,"Categorized as ""Moderate"""
,Cyprus (umber),,3500,3500,,NA,"Categorized as ""Moderate"""
,France,,5000,5100,,NA,
,Germany6,,323000,330000,,NA,"Categorized as ""Moderate"""
,India (ocher),,3100000,3200000,,37000000,
,Italy,,30000,31000,,NA,
,Pakistan (ocher),,100000,110000,,NA,"Categorized as ""Large"""
,Spain (ocher and red iron oxide),,12000,13000,,NA,"Categorized as ""Large"""
,World total (rounded),,NA,NA,,NA,"A significant number of other countries, including Austria, Azerbaijan, Brazil, China, Honduras, Iran, Kazakhstan, Lithuania, Paraguay, Russia, South Africa, Turkey, Ukraine, and the United Kingdom, may produce iron oxide pigments, but available information was inadequate to make reliable estimates of output. Categorized as ""Large"""
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
