Source,Country,Type,Prod_kt_est_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes
MCS2024,United States,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",200,200,"Rounded to the nearest 100,000 tons to avoid disclosing company proprietary data.",2000,United States rutile production and reserves data are included with ilmenite.
MCS2024,Australia,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",400,400,,180000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were estimated to be 43 million tons for ilmenite and 11 million tons for rutile, TiO2 content. Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,Brazil,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",28,54,,43000,
MCS2024,Canada,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",520,500,,52000,"Mine production of titaniferous magnetite is primarily used to produce titaniferous slag. Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,China,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",3140,3100,,210000,"Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,India,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",210,210,,85000,
MCS2024,Kenya,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",190,140,,130,"Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,Madagascar,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",320,320,,27000,"Mine production of titaniferous magnetite is primarily used to produce titaniferous slag. Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,Mozambique,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",1400,1600,,22000,"Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,Norway,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",410,430,,37000,
MCS2024,Senegal,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",410,340,,NA,
MCS2024,South Africa,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",1100,1000,,28000,"Mine production of titaniferous magnetite is primarily used to produce titaniferous slag. Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,Ukraine,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",190,60,,5900,
MCS2024,Vietnam,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",170,140,,1600,
MCS2024,Other countries,"Mine production: Ilmenite, titanium dioxide (TiO2) content.",110,110,,1200,"Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,"World total (ilmenite, rounded)","World total mine production: Ilmenite, titanium dioxide (TiO2) content.",8800,8600,U.S. rutile production and reserves data are included with ilmenite,690000,
MCS2024,United States,"Mine production: rutile, titanium dioxide (TiO2) content.",included with ilmenite,included with ilmenite,,included with ilmenite,
MCS2024,Australia,"Mine production: rutile, titanium dioxide (TiO2) content.",200,200,,35000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were estimated to be 43 million tons for ilmenite and 11 million tons for rutile, TiO2 content. Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,India,"Mine production: rutile, titanium dioxide (TiO2) content.",13,13,,7400,
MCS2024,Kenya,"Mine production: rutile, titanium dioxide (TiO2) content.",73,58,,70,"Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,Madagascar,"Mine production: rutile, titanium dioxide (TiO2) content.",0,0,,520,"Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,Mozambique,"Mine production: rutile, titanium dioxide (TiO2) content.",8,9,,720,"Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,Senegal,"Mine production: rutile, titanium dioxide (TiO2) content.",9,8,,NA,
MCS2024,Sierra Leone,"Mine production: rutile, titanium dioxide (TiO2) content.",130,110,,2900,
MCS2024,South Africa,"Mine production: rutile, titanium dioxide (TiO2) content.",100,100,,6100,"Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,Ukraine,"Mine production: rutile, titanium dioxide (TiO2) content.",95,50,,2500,
MCS2024,Other countries,"Mine production: rutile, titanium dioxide (TiO2) content.",10,10,,20,"Reserves for Australia, Canada, China, Kenya, Madagascar, Mozambique, South Africa, and “Other countries” were revised based on company and Government reports."
MCS2024,"World total (rutile, rounded)","World total mine production: rutile (rounded), titanium dioxide (TiO2) content.",640,560,U.S. rutile production and reserves data are included with ilmenite,55000,
MCS2024,"World total (ilmenite and rutile, rounded)","World total mine production: ilmentite and rutile (rounded), titanium dioxide (TiO2) content.",9400,9200,,750000,
