Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Mine production, industrial sand and gravel",114000,130000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Argentina,"Mine production, industrial sand and gravel","e3,900",4000,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Australia,"Mine production, industrial sand and gravel","e5,000",5500,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Bulgaria,"Mine production, industrial sand and gravel","e8,450",8500,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Canada,"Mine production, industrial sand and gravel","e5,000",5500,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Mine production, industrial sand and gravel","e87,700",88000,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,France,"Mine production, industrial sand and gravel","e13,000",14000,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Germany,"Mine production, industrial sand and gravel","e11,100",11000,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,India,"Mine production, industrial sand and gravel","e11,900",12000,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Indonesia,"Mine production, industrial sand and gravel","e3,540",3500,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Italy,"Mine production, industrial sand and gravel","e14,000",33000,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Japan,"Mine production, industrial sand and gravel",2010,2000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Malaysia,"Mine production, industrial sand and gravel","e4,500",7000,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Mexico,"Mine production, industrial sand and gravel","e2,700",2700,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Netherlands,"Mine production, industrial sand and gravel","e10,000",12000,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Poland,"Mine production, industrial sand and gravel","e5,570",5800,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Mine production, industrial sand and gravel","e7,300",7300,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Spain,"Mine production, industrial sand and gravel","e6,600",6600,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Turkey,"Mine production, industrial sand and gravel",14500,15000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United Kingdom,"Mine production, industrial sand and gravel","e4,200",4200,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,"Mine production, industrial sand and gravel"," e24,000",25000,also estimated in 2022,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, industrial sand and gravel",359000,400000,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
