Source,Country,Type,Prod_t_2022,Prod_t_est_2023,Prod_note,Reserves_t,Reserves_notes
MCS2024,United States,"Mine production, asbestos",0,0,,NA,"Reserves are categorized as ""small"""
MCS2024,Brazil,"Mine production, asbestos","197,100","190,000",Reported data for Brazil and Kazakhstan. Asbestos production in Brazil was permitted for export purposes only. The value shown is reported country exports of asbestos because production data were unavailable.,"11,000,000",
MCS2024,China,"Mine production, asbestos","130,000","200,000",,"18,000,000",
MCS2024,Kazakhstan,"Mine production, asbestos","250,100","260,000",Reported data for Brazil and Kazakhstan,NA,"Reserves are categorized as ""large"""
MCS2024,Russia,"Mine production, asbestos","750,000","630,000",,"110,000,000",
MCS2024,World total (rounded),"Mine production, asbestos","1,330,000","1,300,000",,NA,"Reserves are categorized as ""large"""
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
