Source,Country,Type,Prod_t_2022,Prod_t_est_2023,Prod_note,Reserves_t,Reserves_notes
MCS2024,United States,"Plant production, arsenic trioxide or calculated equivalent.",0,0,"Metric tons, gross weight.",NA,
MCS2024,Belgium,"Plant production, arsenic trioxide or calculated equivalent.",1000,1000,"Metric tons, gross weight.",NA,
MCS2024,Bolivia,"Plant production, arsenic trioxide or calculated equivalent.",40,0,"Metric tons, gross weight.",NA,
MCS2024,China,"Plant production, arsenic trioxide or calculated equivalent.",24000,24000,"Metric tons, gross weight.",NA,
MCS2024,Japan,"Plant production, arsenic trioxide or calculated equivalent.",40,40,"Metric tons, gross weight.",NA,
MCS2024,Morocco,"Plant production, arsenic trioxide or calculated equivalent.",7500,8000,"Metric tons, gross weight. Production was reported in 2021.",NA,
MCS2024,Peru,"Plant production, arsenic trioxide or calculated equivalent.",27000,27000,"Metric tons, gross weight.",NA,
MCS2024,Russia,"Plant production, arsenic trioxide or calculated equivalent.",500,200,"Metric tons, gross weight.",NA,
MCS2024,World total (rounded),"Plant production, arsenic trioxide or calculated equivalent.",60100,60000,"Metric tons, gross weight. Chile and Mexico, not included in world total, were thought to be significant producers of commercial-grade arsenic trioxide but have reported no production in recent years.",NA,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
