Source,Country,Type,Prod_t_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,,,,
MCS2024,United States,"Mine production, graphite",0,0,,Included in World total.,,,,,
MCS2024,Austria,"Mine production, graphite",500,500,,Included in World total.,,,,,
MCS2024,Brazil,"Mine production, graphite","72,000",73000,Also estimated in 2022,74000000,,,,,
MCS2024,Canada,"Mine production, graphite",13000,3500,,5700000,,,,,
MCS2024,China,"Mine production, graphite",1210000,1230000,,78000000,,,,,
MCS2024,Germany,"Mine production, graphite",170,150,,Included in World total.,,,,,
MCS2024,India,"Mine production, graphite",11000,11500,,8600000,,,,,
MCS2024,"Korea, North","Mine production, graphite","8,100",8100,Also estimated in 2022,2000000,,,,,
MCS2024,"Korea, Republic of","Mine production, graphite",23800,27000,,1800000,,,,,
MCS2024,Madagascar,"Mine production, graphite","130,000",100000,Also estimated in 2022,24000000,,,,,
MCS2024,Mexico,"Mine production, graphite",2000,2000,,3100000,,,,,
MCS2024,Mozambique,"Mine production, graphite",166000,96000,,25000000,,,,,
MCS2024,Norway,"Mine production, graphite",10380,7200,,600000,,,,,
MCS2024,Russia,"Mine production, graphite","16,000",16000,Also estimated in 2022,14000000,,,,,
MCS2024,Sri Lanka,"Mine production, graphite",2600,2200,,1500000,,,,,
MCS2024,Tanzania,"Mine production, graphite","6,120",6000,Also estimated in 2022,18000000,,,,,
MCS2024,Turkey,"Mine production, graphite",2800,2000,,6900000,,,,,
MCS2024,Ukraine,"Mine production, graphite",1000,2000,,Included in World total.,,,,,
MCS2024,Vietnam,"Mine production, graphite",500,500,,Included in World total.,,,,,
MCS2024,World total (rounded),"Mine production, graphite",1680000,1600000,,280000000,,,,,
