Source,Country,Type,Prod_t_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,,,,,,,,,,,,
MCS2024,United States,"Mine production, lithium content",W,W,,1100000,"Reserves for Argentina, Australia, Brazil, China, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,
MCS2024,Argentina,"Mine production, lithium content",6590,9600,,3600000,"Reserves for Argentina, Australia, Brazil, China, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,
MCS2024,Australia,"Mine production, lithium content",74700,86000,,6200000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 4.8 million tons. Reserves for Argentina, Australia, Brazil, China, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,
MCS2024,Brazil,"Mine production, lithium content",2630,4900,Also estimated in 2022,390000,"Reserves for Argentina, Australia, Brazil, China, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,
MCS2024,Canada,"Mine production, lithium content",520,3400,Also estimated in 2022,930000,,,,,,,,,,,,,
MCS2024,Chile,"Mine production, lithium content",38000,44000,,9300000,"Reserves for Argentina, Australia, Brazil, China, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,
MCS2024,China,"Mine production, lithium content",22600,33000,Also estimated in 2022,3000000,,,,,,,,,,,,,
MCS2024,Portugal,"Mine production, lithium content",380,380,Also estimated in 2022,60000,,,,,,,,,,,,,
MCS2024,Zimbabwe,"Mine production, lithium content",1030,3400,Also estimated in 2022,310000,,,,,,,,,,,,,
MCS2024,Other countries6,"Mine production, lithium content",0,0,,2800000,"Reserves for Argentina, Australia, Brazil, China, the United States, and “Other countries” were revised based on company and Government reports.",,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, lithium content",146000,180000,Excludes U.S. production.,28000000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
