Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_ore_kt,Reserves_ore_K2O_equiv_kt,Reserves_notes
MCS2024,United States1,"Mine production, potassium oxide (K2O) equivalent",430,400,,970000,220000,
MCS2024,Belarus,"Mine production, potassium oxide (K2O) equivalent",4000,3800,Also estimated in 2022,3300000,750000,
MCS2024,Brazil,"Mine production, potassium oxide (K2O) equivalent",200,200,Also estimated in 2022,10000,2300,
MCS2024,Canada,"Mine production, potassium oxide (K2O) equivalent",14600,13000,,4500000,1100000,
MCS2024,Chile,"Mine production, potassium oxide (K2O) equivalent",600,600,Also estimated in 2022,NA,100000,
MCS2024,China,"Mine production, potassium oxide (K2O) equivalent",6000,6000,Also estimated in 2022,NA,180000,
MCS2024,Germany,"Mine production, potassium oxide (K2O) equivalent",2700,2600,Also estimated in 2022,NA,150000,
MCS2024,Israel,"Mine production, potassium oxide (K2O) equivalent",2450,2400,,NA,NA,"Categorixed as ""Large"" - Israel and Jordan recover potash from the Dead Sea, which contains nearly 2 billion tons of potassium chloride."
MCS2024,Jordan,"Mine production, potassium oxide (K2O) equivalent",1640,1800,,NA,NA,"Categorixed as ""Large"" - Israel and Jordan recover potash from the Dead Sea, which contains nearly 2 billion tons of potassium chloride."
MCS2024,Laos,"Mine production, potassium oxide (K2O) equivalent",700,1400,Also estimated in 2022,1000000,75000,
MCS2024,Russia,"Mine production, potassium oxide (K2O) equivalent",6800,6500,Also estimated in 2023,NA,650000,
MCS2024,Spain,"Mine production, potassium oxide (K2O) equivalent",420,250,Also estimated in 2024,NA,68000,
MCS2024,Other countries,"Mine production, potassium oxide (K2O) equivalent",400,400,,1500000,300000,
MCS2024,World total (rounded),"Mine production, potassium oxide (K2O) equivalent",40900,39000,,NA,NA,"Ore reserves are more than 11,000,000,000 metric tons and the K2O ewivalent is more than 3,600,000,000 metric tons"
