Source,Country,Type,Prod_kt_est_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes
MCS2024,United States (includes Puerto Rico),"Cement production, estimated",93000,91000,,,
MCS2024,Brazil,"Cement production, estimated",64000,63000,,,
MCS2024,China,"Cement production, estimated",2100000,2100000,,,
MCS2024,Egypt,"Cement production, estimated",46000,50000,,,
MCS2024,India,"Cement production, estimated",380000,410000,,,
MCS2024,Indonesia,"Cement production, estimated",64000,62000,,,
MCS2024,Iran,"Cement production, estimated",59000,65000,,,
MCS2024,Japan,"Cement production, estimated",53000,50000,,,
MCS2024,"Korea, Republic of","Cement production, estimated",51000,50000,,,
MCS2024,Mexico,"Cement production, estimated",50000,50000,,,
MCS2024,Russia,"Cement production, estimated",61000,57000,,,
MCS2024,Saudi Arabia,"Cement production, estimated",52000,53000,,,
MCS2024,Turkey,"Cement production, estimated",74000,79000,,,
MCS2024,Vietnam,"Cement production, estimated",120000,110000,,,
MCS2024,Other countries (rounded),"Cement production, estimated",850000,850000,,,
MCS2024,World total (rounded),"Cement production, estimated",4100000,4100000,,,
MCS2024,United States (includes Puerto Rico),"Clinker capacity, estimated",100000,100000,,,
MCS2024,Brazil,"Clinker capacity, estimated",60000,60000,,,
MCS2024,China,"Clinker capacity, estimated",2000000,2000000,,,
MCS2024,Egypt,"Clinker capacity, estimated",60000,60000,,,
MCS2024,India,"Clinker capacity, estimated",290000,300000,,,
MCS2024,Indonesia,"Clinker capacity, estimated",79000,79000,,,
MCS2024,Iran,"Clinker capacity, estimated",81000,81000,,,
MCS2024,Japan,"Clinker capacity, estimated",54000,54000,,,
MCS2024,"Korea, Republic of","Clinker capacity, estimated",62000,62000,,,
MCS2024,Mexico,"Clinker capacity, estimated",42000,42000,,,
MCS2024,Russia,"Clinker capacity, estimated",80000,80000,,,
MCS2024,Saudi Arabia,"Clinker capacity, estimated",75000,75000,,,
MCS2024,Turkey,"Clinker capacity, estimated",92000,92000,,,
MCS2024,Vietnam,"Clinker capacity, estimated",100000,110000,,,
MCS2024,Other countries (rounded),"Clinker capacity, estimated",600000,600000,,,
MCS2024,World total (rounded),"Clinker capacity, estimated",3800000,3800000,,,
