Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes
MCS2024,United States,"Plant production, silicon content of ferrosilicon",W,W,"To avoid disclosing proprietary data, U.S. ferrosilicon and silicon production are not reported separately. See Salient Statistics for U.S. combined ferrosilicon and silicon metal production",,
MCS2024,Australia,"Plant production, silicon content of ferrosilicon",0,0,,,
MCS2024,Bhutan,"Plant production, silicon content of ferrosilicon",75,80,,,
MCS2024,Brazil,"Plant production, silicon content of ferrosilicon",189,190,,,
MCS2024,Canada,"Plant production, silicon content of ferrosilicon",20,20,,,
MCS2024,China,"Plant production, silicon content of ferrosilicon",3770,3600,,,
MCS2024,France,"Plant production, silicon content of ferrosilicon",25,20,,,
MCS2024,Germany,"Plant production, silicon content of ferrosilicon",0,0,,,
MCS2024,Iceland,"Plant production, silicon content of ferrosilicon",79,80,,,
MCS2024,India,"Plant production, silicon content of ferrosilicon",59,60,,,
MCS2024,Kazakhstan,"Plant production, silicon content of ferrosilicon",96,120,,,
MCS2024,Malaysia,"Plant production, silicon content of ferrosilicon",91,80,,,
MCS2024,Norway,"Plant production, silicon content of ferrosilicon",195,200,,,
MCS2024,Poland,"Plant production, silicon content of ferrosilicon",47,50,,,
MCS2024,Russia,"Plant production, silicon content of ferrosilicon",572,570,,,
MCS2024,Spain,"Plant production, silicon content of ferrosilicon",46,50,,,
MCS2024,Ukraine,"Plant production, silicon content of ferrosilicon",28,2,,,
MCS2024,Other countries,"Plant production, silicon content of ferrosilicon",144,100,,,
MCS2024,World total (rounded),"Plant production, silicon content of ferrosilicon",5440,5200,Excludes U.S. production.,,
MCS2024,United States,"Plant production, silicon metal",W,W,"To avoid disclosing proprietary data, U.S. ferrosilicon and silicon production are not reported separately. See Salient Statistics for U.S. combined ferrosilicon and silicon metal production",,
MCS2024,Australia,"Plant production, silicon metal",48,50,,,
MCS2024,Bhutan,"Plant production, silicon metal",0,0,,,
MCS2024,Brazil,"Plant production, silicon metal",202,200,,,
MCS2024,Canada,"Plant production, silicon metal",29,30,,,
MCS2024,China,"Plant production, silicon metal",2900,3000,,,
MCS2024,France,"Plant production, silicon metal",96,90,,,
MCS2024,Germany,"Plant production, silicon metal",62,60,,,
MCS2024,Iceland,"Plant production, silicon metal",49,50,,,
MCS2024,India,"Plant production, silicon metal",0,0,,,
MCS2024,Kazakhstan,"Plant production, silicon metal",5,5,,,
MCS2024,Malaysia,"Plant production, silicon metal",0,0,,,
MCS2024,Norway,"Plant production, silicon metal",144,140,,,
MCS2024,Poland,"Plant production, silicon metal",0,0,,,
MCS2024,Russia,"Plant production, silicon metal",54,50,,,
MCS2024,Spain,"Plant production, silicon metal",6,6,,,
MCS2024,Ukraine,"Plant production, silicon metal",0,0,,,
MCS2024,Other countries,"Plant production, silicon metal",79,80,,,
MCS2024,World total (rounded),"Plant production, silicon metal",3670,3800,Excludes U.S. production.,,
