Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
12306,Skyjack Inc.,Skyjack Inc.,Guelph,55 Campbell Road,N1H 1B9,Ontario,43.5518,-80.2888,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Material Handling Equipment Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=333920&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12306-2019.html,"http://indicators-map.canada.ca/App/Detail?id=0112306&GoCTemplateCulture=en-CA
"
12307,Pierson 04-01-002-28 W1M,Tundra Oil & Gas Limited,Pierson,,N/A,Manitoba,49.08892,-101.11456,32.12,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12307-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0112307&GoCTemplateCulture=en-CA
"
12308,Milner M2 Power Plant,Milner Power II Limited Partnership by its General Partner M,Municipal District of Greenvie,500 581073 40 Highway North,T0E 0Y0,Alberta,54.0078,-119.10191,580.73,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Fossil-Fuel Electric Power Generation,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221112&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12308-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0112308&GoCTemplateCulture=en-CA
"
12309,Beare Road Landfill,City of Toronto,Scarborough,8145 Finch Avenue East,M1B 5W3,Ontario,43.82399,-79.16456,139.5,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Waste Treatment and Disposal,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=562210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12309-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0112309&GoCTemplateCulture=en-CA
"
12310,Fredericton Region Landfill,Capital Region Service Commission,Fredericton,1775 Alison Boulevard,E3B 4Y2,New Brunswick,45.88107,-66.6109,88.1,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Waste Treatment and Disposal,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=562210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12310-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0112310&GoCTemplateCulture=en-CA
"
12311,Spruce Lake Central Thermal,Cenovus Energy Inc.,Lloydminster,5516 59 Avenue,N/A,Saskatchewan,53.59641,-109.05002,244.35,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12311-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0112311&GoCTemplateCulture=en-CA
"
12312,Kaybob 07-20-060-19W5 GGS,Whitecap Resources Inc.,Calgary,3800 525 8 Avenue Southwest,T2P 1G1,Alberta,54.20132,-116.8108,77.42,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12312-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0112312&GoCTemplateCulture=en-CA
"
12313,NEL ANSELL BT 07-27-051-19W5,Husky Oil Operations Limited,Edson,,N/A,Alberta,53.42949,-116.71152,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12313-2021.html,"http://indicators-map.canada.ca/App/Detail?id=0112313&GoCTemplateCulture=en-CA
"
12314,HHR Karr 01-16-065-03W6,Hammerhead Resources Inc,Grande Prairie,,N/A,Alberta,54.6199,-118.38114,53.16,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12314-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0112314&GoCTemplateCulture=en-CA
"
12315,Hemlock Knoll Landfill,Southwest Regional Service Commission,Lawrence Station,5749 route 3 Highway,E5A 3B9,New Brunswick,45.4558,-67.1156,75.62,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Waste Treatment and Disposal,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=562210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12315-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0112315&GoCTemplateCulture=en-CA
"
