Entity,Code,Year,reserves|Potash|Mine|tonnes
Belarus,BLR,2022,3300000000
Belarus,BLR,2023,3300000000
Brazil,BRA,2022,10000000
Brazil,BRA,2023,10000000
Canada,CAN,2022,4500000000
Canada,CAN,2023,4500000000
Laos,LAO,2022,500000000
Laos,LAO,2023,1000000000
Other,,2022,1500000000
Other,,2023,1500000000
United States,USA,2022,970000000
United States,USA,2023,970000000
