Entity,Code,Year,production|Potash|Mine|tonnes
Belarus,BLR,2020,7400000
Belarus,BLR,2021,7630000
Belarus,BLR,2022,4000000
Belarus,BLR,2023,3800000
Brazil,BRA,2020,254000
Brazil,BRA,2021,270000
Brazil,BRA,2022,200000
Brazil,BRA,2023,200000
Canada,CAN,2020,13800000
Canada,CAN,2021,14200000
Canada,CAN,2022,14600000
Canada,CAN,2023,13000000
Chile,CHL,2020,900000
Chile,CHL,2021,858000
Chile,CHL,2022,600000
Chile,CHL,2023,600000
China,CHN,2020,6000000
China,CHN,2021,6000000
China,CHN,2022,6000000
China,CHN,2023,6000000
Germany,DEU,2020,2200000
Germany,DEU,2021,2800000
Germany,DEU,2022,2700000
Germany,DEU,2023,2600000
Israel,ISR,2020,2280000
Israel,ISR,2021,2380000
Israel,ISR,2022,2450000
Israel,ISR,2023,2400000
Jordan,JOR,2020,1590000
Jordan,JOR,2021,1560000
Jordan,JOR,2022,1640000
Jordan,JOR,2023,1800000
Laos,LAO,2020,270000
Laos,LAO,2021,260000
Laos,LAO,2022,700000
Laos,LAO,2023,1400000
Other,,2020,360000
Other,,2021,350000
Other,,2022,400000
Other,,2023,400000
Russia,RUS,2020,8110000
Russia,RUS,2021,9100000
Russia,RUS,2022,6800000
Russia,RUS,2023,6500000
Spain,ESP,2020,420000
Spain,ESP,2021,365000
Spain,ESP,2022,420000
Spain,ESP,2023,250000
United States,USA,2020,460000
United States,USA,2021,480000
United States,USA,2022,430000
United States,USA,2023,400000
World,OWID_WRL,2020,44000000
World,OWID_WRL,2021,46300000
World,OWID_WRL,2022,40900000
World,OWID_WRL,2023,39000000
