Method,Impact Category,Subcategory
IMPACT World+ Damage 2.0.1_regionalized,Ecosystem quality,"Climate change, ecosystem quality, long term"
IMPACT World+ Damage 2.0.1_regionalized,Ecosystem quality,"Climate change, ecosystem quality, short term"
IMPACT World+ Damage 2.0.1_regionalized,Human health,"Climate change, human health, long term"
IMPACT World+ Damage 2.0.1_regionalized,Human health,"Climate change, human health, short term"
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,"Climate change, long term"
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,"Climate change, short term"
IMPACT World+ Damage 2.0.1_regionalized,Ecosystem quality,"Marine acidification, long term"
IMPACT World+ Damage 2.0.1_regionalized,Ecosystem quality,"Marine acidification, short term"
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,Photochemical oxidant formation
IMPACT World+ Damage 2.0.1_regionalized,Human health,Photochemical oxidant formation
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,Freshwater ecotoxicity
IMPACT World+ Damage 2.0.1_regionalized,Ecosystem quality,"Freshwater ecotoxicity, short term"
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,Human toxicity cancer
IMPACT World+ Damage 2.0.1_regionalized,Human health,"Human toxicity cancer, short term"
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,Human toxicity non-cancer
IMPACT World+ Damage 2.0.1_regionalized,Human health,"Human toxicity non-cancer, short term"
IMPACT World+ Damage 2.0.1_regionalized,Ecosystem quality,"Freshwater ecotoxicity, long term"
IMPACT World+ Damage 2.0.1_regionalized,Human health,"Human toxicity cancer, long term"
IMPACT World+ Damage 2.0.1_regionalized,Human health,"Human toxicity non-cancer, long term"
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,Marine eutrophication
IMPACT World+ Damage 2.0.1_regionalized,Ecosystem quality,Marine eutrophication
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,Ozone layer depletion
IMPACT World+ Damage 2.0.1_regionalized,Human health,Ozone layer depletion
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,Fossil and nuclear energy use
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,Mineral resources use
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,Freshwater acidification
IMPACT World+ Damage 2.0.1_regionalized,Ecosystem quality,Freshwater acidification
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,Particulate matter formation
IMPACT World+ Damage 2.0.1_regionalized,Human health,Particulate matter formation
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,Terrestrial acidification
IMPACT World+ Damage 2.0.1_regionalized,Ecosystem quality,Terrestrial acidification
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,Freshwater eutrophication
IMPACT World+ Damage 2.0.1_regionalized,Ecosystem quality,Freshwater eutrophication
IMPACT World+ Damage 2.0.1_regionalized,Ecosystem quality,"Ionizing radiation, ecosystem quality"
IMPACT World+ Damage 2.0.1_regionalized,Human health,"Ionizing radiation, human health"
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,Ionizing radiations
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,"Land occupation, biodiversity"
IMPACT World+ Damage 2.0.1_regionalized,Ecosystem quality,"Land occupation, biodiversity"
IMPACT World+ Midpoint 2.0.1_regionalized,Midpoint,"Land transformation, biodiversity"
