iso3_country,sector,subsector,lat,lon,geometry_ref,relationship,company_name,company_id,percent_interest_company,start_date,end_date,created_date,modified_date,source_name,source_id
AUS,mineral-extraction,bauxite-mining,-12.5164,141.838998,trace_141.838998_-12.5164,owner,Rio Tinto PLC,3,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Andoom Mine,25487521
AUS,mineral-extraction,bauxite-mining,-41.895313,147.450575,trace_147.450575_-41.895313,owner,Australian Bauxite Ltd.,3577,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Bald Hill Mine,25487522
AUS,mineral-extraction,bauxite-mining,-11.879198,142.007714,trace_142.007714_-11.879198,owner,Metro Mining Ltd.,7022,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Bauxite Hills Mine,25487523
AUS,mineral-extraction,bauxite-mining,-12.292853,136.851272,trace_136.851272_-12.292853,owner,Rio Tinto PLC,3,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Gove Mine,3674832
AUS,mineral-extraction,bauxite-mining,-12.73671,141.886526,trace_141.886526_-12.73671,owner,Metallica Minerals Ltd.,3267,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Hey Point Mine,3674833
AUS,mineral-extraction,bauxite-mining,-32.555975,116.166514,trace_116.166514_-32.555975,operator,Alcoa World Alumina & Chemicals,1628,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Huntly Mine,3674834
AUS,mineral-extraction,bauxite-mining,-32.555975,116.166514,trace_116.166514_-32.555975,owner,Alcoa Corp.,347,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Huntly Mine,3674834
AUS,mineral-extraction,bauxite-mining,-12.661226,141.955586,trace_141.955586_-12.661226,owner,Rio Tinto PLC,3,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Weipa-Ely Mine,3674835
AUS,mineral-extraction,bauxite-mining,-32.843989,116.057893,trace_116.057893_-32.843989,operator,Alcoa World Alumina & Chemicals,1628,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Willowdale Mine,3674836
AUS,mineral-extraction,bauxite-mining,-32.843989,116.057893,trace_116.057893_-32.843989,owner,Alcoa Corp.,347,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Willowdale Mine,3674836
AUS,mineral-extraction,bauxite-mining,-32.938488,116.453815,trace_116.453815_-32.938488,operator,South32 Worsley Alumina Ltd.,5611,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Worsley Operation,3674837
AUS,mineral-extraction,bauxite-mining,-32.938488,116.453815,trace_116.453815_-32.938488,owner,South32 Ltd.,6428,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Worsley Operation,3674837
BIH,mineral-extraction,bauxite-mining,44.074155,19.193549,trace_19.193549_44.074155,owner,Boksit a.d. Milici,3016,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Milici Mine,25487530
BRA,mineral-extraction,bauxite-mining,-14.983944,-48.942344,trace_-48.942344_-14.983944,owner,Anglo American PLC,65,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Barro Alto Mine,25487531
BRA,mineral-extraction,bauxite-mining,-21.848265,-46.491602,trace_-46.491602_-21.848265,owner,Mineracao Curimbaba Ltda.,7603,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Curimbaba Mine,3674840
BRA,mineral-extraction,bauxite-mining,-21.445629,-42.879786,trace_-42.879786_-21.445629,owner,Companhia Brasileira de Alumínio S.A.,540,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Itamarati de Minas Mine,3674841
BRA,mineral-extraction,bauxite-mining,-2.494093,-56.181987,trace_-56.181987_-2.494093,owner,Alcoa Corp.,347,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Juruti Mine,3674842
BRA,mineral-extraction,bauxite-mining,-1.676376,-56.450463,trace_-56.450463_-1.676376,operator,Mineracao Rio do Norte S.A.,4206,,2023-01-01 00:00:00,2023-12-31 00:00:00,2024-10-11 00:00:00,2024-10-22 21:58:44.642669,Mineracao Rio do Norte Operation,3674843
