Entity,Code,Year,"production|Iron ore|Mine, iron content|tonnes"
Australia,AUS,2020,565000000
Australia,AUS,2021,565000000
Australia,AUS,2022,584000000
Australia,AUS,2023,590000000
Brazil,BRA,2020,247000000
Brazil,BRA,2021,273000000
Brazil,BRA,2022,276000000
Brazil,BRA,2023,280000000
Canada,CAN,2020,36100000
Canada,CAN,2021,34500000
Canada,CAN,2022,41400000
Canada,CAN,2023,42000000
Chile,CHL,2020,9890000
Chile,CHL,2021,11200000
Chile,CHL,2022,11100000
Chile,CHL,2023,11000000
China,CHN,2020,225000000
China,CHN,2021,246000000
China,CHN,2022,170000000
China,CHN,2023,170000000
India,IND,2020,127000000
India,IND,2021,169000000
India,IND,2022,156000000
India,IND,2023,170000000
Iran,IRN,2020,32500000
Iran,IRN,2021,47900000
Iran,IRN,2022,51300000
Iran,IRN,2023,50000000
Kazakhstan,KAZ,2020,12700000
Kazakhstan,KAZ,2021,13100000
Kazakhstan,KAZ,2022,8890000
Kazakhstan,KAZ,2023,8800000
Mauritania,MRT,2021,8000000
Mauritania,MRT,2022,7950000
Mauritania,MRT,2023,8100000
Mexico,MEX,2020,9380000
Mexico,MEX,2021,6810000
Mexico,MEX,2022,6800000
Mexico,MEX,2023,7600000
Other,,2020,40000000
Other,,2021,4900000
Other,,2022,32200000
Other,,2023,27000000
Peru,PER,2020,8890000
Peru,PER,2021,12100000
Peru,PER,2022,12900000
Peru,PER,2023,13000000
Russia,RUS,2020,69500000
Russia,RUS,2021,66700000
Russia,RUS,2022,55800000
Russia,RUS,2023,58000000
South Africa,ZAF,2020,35400000
South Africa,ZAF,2021,46500000
South Africa,ZAF,2022,40500000
South Africa,ZAF,2023,39000000
Sweden,SWE,2020,25400000
Sweden,SWE,2021,28600000
Sweden,SWE,2022,27700000
Sweden,SWE,2023,27000000
Turkey,TUR,2020,8570000
Turkey,TUR,2021,9710000
Turkey,TUR,2022,10700000
Turkey,TUR,2023,10000000
Ukraine,UKR,2020,49300000
Ukraine,UKR,2021,52400000
Ukraine,UKR,2022,21300000
Ukraine,UKR,2023,22000000
United States,USA,2020,24100000
United States,USA,2021,30100000
United States,USA,2022,24700000
United States,USA,2023,28000000
World,OWID_WRL,2020,1520000000
World,OWID_WRL,2021,1630000000
World,OWID_WRL,2022,1540000000
World,OWID_WRL,2023,1500000000
