Entity,Code,Year,"unit value|Iron ore|Mine, crude ore|constant 1998 US$ per tonne"
World,OWID_WRL,1900,47.45
World,OWID_WRL,1901,33.53
World,OWID_WRL,1902,34.07
World,OWID_WRL,1903,34.36
World,OWID_WRL,1904,25.57
World,OWID_WRL,1905,32.18
World,OWID_WRL,1906,38.36
World,OWID_WRL,1907,43.97
World,OWID_WRL,1908,41.27
World,OWID_WRL,1909,39.09
World,OWID_WRL,1910,43.33
World,OWID_WRL,1911,37.02
World,OWID_WRL,1912,31.86
World,OWID_WRL,1913,35.9
World,OWID_WRL,1914,29.67
World,OWID_WRL,1915,29.52
World,OWID_WRL,1916,34.93
World,OWID_WRL,1917,39.87
World,OWID_WRL,1918,36.45
World,OWID_WRL,1919,33.02
World,OWID_WRL,1920,33.41
World,OWID_WRL,1921,30.64
World,OWID_WRL,1922,30.29
World,OWID_WRL,1923,32.86
World,OWID_WRL,1924,27.71
World,OWID_WRL,1925,23.33
World,OWID_WRL,1926,23.03
World,OWID_WRL,1927,23.3
World,OWID_WRL,1928,23.43
World,OWID_WRL,1929,24.86
World,OWID_WRL,1930,27.84
World,OWID_WRL,1931,29.14
World,OWID_WRL,1932,28.81
World,OWID_WRL,1933,32.78
World,OWID_WRL,1934,31.46
World,OWID_WRL,1935,29.52
World,OWID_WRL,1936,30.12
World,OWID_WRL,1937,29.09
World,OWID_WRL,1938,33.37
World,OWID_WRL,1939,34
World,OWID_WRL,1940,29.19
World,OWID_WRL,1941,26.67
World,OWID_WRL,1942,23.5
World,OWID_WRL,1943,25.47
World,OWID_WRL,1944,25
World,OWID_WRL,1945,25.18
World,OWID_WRL,1946,25.58
World,OWID_WRL,1947,25.11
World,OWID_WRL,1948,26.42
World,OWID_WRL,1949,30.82
World,OWID_WRL,1950,33.72
World,OWID_WRL,1951,34.34
World,OWID_WRL,1952,37.36
World,OWID_WRL,1953,41.22
World,OWID_WRL,1954,41.88
World,OWID_WRL,1955,43.35
World,OWID_WRL,1956,44.73
World,OWID_WRL,1957,48.31
World,OWID_WRL,1958,48.64
World,OWID_WRL,1959,48.55
World,OWID_WRL,1960,48.23
World,OWID_WRL,1961,49.13
World,OWID_WRL,1962,47.53
World,OWID_WRL,1963,49.04
World,OWID_WRL,1964,50.11
World,OWID_WRL,1965,49.38
World,OWID_WRL,1966,47.69
World,OWID_WRL,1967,48.39
World,OWID_WRL,1968,47.93
World,OWID_WRL,1969,45.96
World,OWID_WRL,1970,45.38
World,OWID_WRL,1971,46.57
World,OWID_WRL,1972,47.66
World,OWID_WRL,1973,47.03
World,OWID_WRL,1974,53.93
World,OWID_WRL,1975,64.88
World,OWID_WRL,1976,69.57
World,OWID_WRL,1977,70.75
World,OWID_WRL,1978,72.15
World,OWID_WRL,1979,73.35
World,OWID_WRL,1980,72.4
World,OWID_WRL,1981,72.38
World,OWID_WRL,1982,70.47
World,OWID_WRL,1983,71.37
World,OWID_WRL,1984,69.23
World,OWID_WRL,1985,63.68
World,OWID_WRL,1986,52.94
World,OWID_WRL,1987,45.74
World,OWID_WRL,1988,41.4
World,OWID_WRL,1989,43.78
World,OWID_WRL,1990,38.08
World,OWID_WRL,1991,35.32
World,OWID_WRL,1992,36.21
World,OWID_WRL,1993,27.65
World,OWID_WRL,1994,26.84
World,OWID_WRL,1995,30.27
World,OWID_WRL,1996,29.63
World,OWID_WRL,1997,30.56
World,OWID_WRL,1998,31.14
World,OWID_WRL,1999,25.9
World,OWID_WRL,2000,24.21
World,OWID_WRL,2001,21.98
World,OWID_WRL,2002,23.61
World,OWID_WRL,2003,23.79
World,OWID_WRL,2004,32.72
World,OWID_WRL,2005,37.15
World,OWID_WRL,2006,43.59
World,OWID_WRL,2007,46.89
World,OWID_WRL,2008,53.32
World,OWID_WRL,2009,70.47
World,OWID_WRL,2010,73.84
World,OWID_WRL,2011,75.44
World,OWID_WRL,2012,82.69
World,OWID_WRL,2013,61.16
World,OWID_WRL,2014,58.14
World,OWID_WRL,2015,55.84
World,OWID_WRL,2016,49.65
World,OWID_WRL,2017,52.23
World,OWID_WRL,2018,60.37
World,OWID_WRL,2019,59.25
World,OWID_WRL,2020,57.48
World,OWID_WRL,2021,85.29
