Entity,Code,Year,"reserves|Iron ore|Mine, iron content|tonnes"
Australia,AUS,2022,27000000000
Australia,AUS,2023,27000000000
Brazil,BRA,2022,15000000000
Brazil,BRA,2023,15000000000
Canada,CAN,2022,2300000000
Canada,CAN,2023,2300000000
China,CHN,2022,6900000000
China,CHN,2023,6900000000
India,IND,2022,3400000000
India,IND,2023,3400000000
Iran,IRN,2022,1500000000
Iran,IRN,2023,1500000000
Kazakhstan,KAZ,2022,900000000
Kazakhstan,KAZ,2023,900000000
Other,,2022,9500000000
Other,,2023,9500000000
Peru,PER,2022,1200000000
Peru,PER,2023,1200000000
Russia,RUS,2022,14000000000
Russia,RUS,2023,14000000000
South Africa,ZAF,2022,670000000
South Africa,ZAF,2023,620000000
Sweden,SWE,2022,600000000
Sweden,SWE,2023,600000000
Turkey,TUR,2022,38000000
Turkey,TUR,2023,99000000
Ukraine,UKR,2022,2300000000
Ukraine,UKR,2023,2300000000
United States,USA,2022,1000000000
United States,USA,2023,1300000000
World,OWID_WRL,2022,85000000000
World,OWID_WRL,2023,87000000000
