Entity,Code,Year,production|Cobalt|Refinery|tonnes
Albania,ALB,1987,0
Albania,ALB,1988,10
Albania,ALB,1989,10
Albania,ALB,1990,20
Australia,AUS,1997,617
Australia,AUS,1998,1395
Australia,AUS,1999,1701
Australia,AUS,2000,2637
Australia,AUS,2001,3473
Australia,AUS,2002,3701
Australia,AUS,2003,3839
Australia,AUS,2004,3879
Australia,AUS,2005,3150
Australia,AUS,2006,3696
Australia,AUS,2007,3684
Australia,AUS,2008,3618
Australia,AUS,2009,4050
Australia,AUS,2010,4117
Australia,AUS,2011,4722
Australia,AUS,2012,4769
Australia,AUS,2013,4981
Australia,AUS,2014,5419
Australia,AUS,2015,5150
Australia,AUS,2016,3200
Australia,AUS,2017,3042
Australia,AUS,2018,3244
Australia,AUS,2019,3700
Australia,AUS,2020,3300
Australia,AUS,2021,2800
Australia,AUS,2022,3000
Belgium,BEL,1979,0
Belgium,BEL,1993,1200
Belgium,BEL,1994,1200
Belgium,BEL,1995,1200
Belgium,BEL,1996,1200
Belgium,BEL,1997,1200
Belgium,BEL,1998,1200
Belgium,BEL,1999,950
Belgium,BEL,2000,1110
Belgium,BEL,2001,1090
Belgium,BEL,2002,1135
Belgium,BEL,2003,1704
Belgium,BEL,2004,2947
Belgium,BEL,2005,3298
Belgium,BEL,2006,2840
Belgium,BEL,2007,2825
Belgium,BEL,2008,3020
Belgium,BEL,2009,2150
Belgium,BEL,2010,2600
Belgium,BEL,2011,3187
Belgium,BEL,2012,4200
Belgium,BEL,2013,5415
Belgium,BEL,2014,5850
Belgium,BEL,2015,6306
Belgium,BEL,2016,6329
Belgium,BEL,2017,1600
Belgium,BEL,2018,1650
Belgium,BEL,2019,1500
Belgium,BEL,2020,1300
Belgium,BEL,2021,1300
Belgium,BEL,2022,1000
Brazil,BRA,1990,67
Brazil,BRA,1991,33
Brazil,BRA,1993,153
Brazil,BRA,1994,166
Brazil,BRA,1995,166
Brazil,BRA,1996,193
Brazil,BRA,1997,266
Brazil,BRA,1998,364
Brazil,BRA,1999,630
Brazil,BRA,2000,792
Brazil,BRA,2001,889
Brazil,BRA,2002,960
Brazil,BRA,2003,1097
Brazil,BRA,2004,1155
Brazil,BRA,2005,1136
Brazil,BRA,2006,902
Brazil,BRA,2007,1148
Brazil,BRA,2008,994
Brazil,BRA,2009,1012
Brazil,BRA,2010,1369
Brazil,BRA,2011,1614
Brazil,BRA,2012,1750
Brazil,BRA,2013,1871
Brazil,BRA,2014,1350
Brazil,BRA,2015,1300
Brazil,BRA,2016,400
Brazil,BRA,2017,185
Brazil,BRA,2018,8
Brazil,BRA,2019,0
Brazil,BRA,2020,0
Brazil,BRA,2021,0
Brazil,BRA,2022,0
Canada,CAN,1973,600
Canada,CAN,1974,326
Canada,CAN,1975,254
Canada,CAN,1976,298
Canada,CAN,1977,459
Canada,CAN,1978,519
Canada,CAN,1979,605
Canada,CAN,1980,692
Canada,CAN,1981,914
Canada,CAN,1982,784
Canada,CAN,1983,1153
Canada,CAN,1984,1909
Canada,CAN,1985,2054
Canada,CAN,1986,2283
Canada,CAN,1987,2527
Canada,CAN,1988,2356
Canada,CAN,1989,2110
Canada,CAN,1990,2063
Canada,CAN,1991,2248
Canada,CAN,1993,2695
Canada,CAN,1994,2971
Canada,CAN,1995,3259
Canada,CAN,1996,3601
Canada,CAN,1997,3792
Canada,CAN,1998,4415
Canada,CAN,1999,4196
Canada,CAN,2000,4364
Canada,CAN,2001,4378
Canada,CAN,2002,4625
Canada,CAN,2003,4233
Canada,CAN,2004,5144
Canada,CAN,2005,5090
Canada,CAN,2006,5198
Canada,CAN,2007,5620
Canada,CAN,2008,5637
Canada,CAN,2009,4918
Canada,CAN,2010,4711
Canada,CAN,2011,6038
Canada,CAN,2012,5994
Canada,CAN,2013,5602
Canada,CAN,2014,5491
Canada,CAN,2015,6126
Canada,CAN,2016,6302
Canada,CAN,2017,5152
Canada,CAN,2018,6349
Canada,CAN,2019,6075
Canada,CAN,2020,5965
Canada,CAN,2021,6000
Canada,CAN,2022,5501
China,CHN,1983,270
China,CHN,1984,270
China,CHN,1985,270
China,CHN,1986,270
China,CHN,1987,270
China,CHN,1988,270
China,CHN,1989,255
China,CHN,1990,325
China,CHN,1991,340
China,CHN,1993,950
China,CHN,1994,800
China,CHN,1995,900
China,CHN,1996,1200
China,CHN,1997,1200
China,CHN,1998,1200
China,CHN,1999,1200
China,CHN,2000,1200
China,CHN,2001,1470
China,CHN,2002,1842
China,CHN,2003,4576
China,CHN,2004,8000
China,CHN,2005,12700
China,CHN,2006,12700
China,CHN,2007,13245
China,CHN,2008,18239
China,CHN,2009,25544
China,CHN,2010,35929
China,CHN,2011,34969
China,CHN,2012,29784
China,CHN,2013,36062
China,CHN,2014,39292
China,CHN,2015,48719
China,CHN,2016,45046
China,CHN,2017,69600
China,CHN,2018,78360
China,CHN,2019,86000
China,CHN,2020,86000
China,CHN,2021,113000
China,CHN,2022,125000
Czechoslovakia,OWID_CZS,1979,0
Czechoslovakia,OWID_CZS,1988,50
Czechoslovakia,OWID_CZS,1989,50
Czechoslovakia,OWID_CZS,1990,59
Czechoslovakia,OWID_CZS,1991,60
Democratic Republic of Congo,COD,1972,13043
Democratic Republic of Congo,COD,1973,15052
Democratic Republic of Congo,COD,1974,17545
Democratic Republic of Congo,COD,1975,13638
Democratic Republic of Congo,COD,1976,10686
Democratic Republic of Congo,COD,1977,10208
Democratic Republic of Congo,COD,1978,13146
Democratic Republic of Congo,COD,1979,14029
Democratic Republic of Congo,COD,1980,14482
Democratic Republic of Congo,COD,1981,11124
Democratic Republic of Congo,COD,1982,5573
Democratic Republic of Congo,COD,1983,5370
Democratic Republic of Congo,COD,1984,9075
Democratic Republic of Congo,COD,1985,10571
Democratic Republic of Congo,COD,1986,14518
Democratic Republic of Congo,COD,1987,11871
Democratic Republic of Congo,COD,1988,10026
Democratic Republic of Congo,COD,1989,9311
Democratic Republic of Congo,COD,1990,10033
Democratic Republic of Congo,COD,1991,8790
Democratic Republic of Congo,COD,1993,829
Democratic Republic of Congo,COD,1994,2329
Democratic Republic of Congo,COD,1995,3422
Democratic Republic of Congo,COD,1996,2340
Democratic Republic of Congo,COD,1997,2808
Democratic Republic of Congo,COD,1998,4490
Democratic Republic of Congo,COD,1999,5180
Democratic Republic of Congo,COD,2000,4320
Democratic Republic of Congo,COD,2001,3199
Democratic Republic of Congo,COD,2002,2149
Democratic Republic of Congo,COD,2003,1200
Democratic Republic of Congo,COD,2004,735
Democratic Republic of Congo,COD,2005,600
Democratic Republic of Congo,COD,2006,550
Democratic Republic of Congo,COD,2007,606
Democratic Republic of Congo,COD,2008,1049
Democratic Republic of Congo,COD,2009,2950
Democratic Republic of Congo,COD,2010,4182
Democratic Republic of Congo,COD,2011,3083
Democratic Republic of Congo,COD,2012,2999
Democratic Republic of Congo,COD,2013,2777
Democratic Republic of Congo,COD,2014,2859
Democratic Republic of Congo,COD,2015,3195
Democratic Republic of Congo,COD,2016,82
Democratic Republic of Congo,COD,2017,120
Democratic Republic of Congo,COD,2018,68
Democratic Republic of Congo,COD,2019,0
Democratic Republic of Congo,COD,2020,0
Democratic Republic of Congo,COD,2021,0
Democratic Republic of Congo,COD,2022,0
Finland,FIN,1972,803
Finland,FIN,1973,1010
Finland,FIN,1974,812
Finland,FIN,1975,821
Finland,FIN,1976,1011
