Entity,Code,Year,production|Cobalt|Mine|tonnes
Australia,AUS,2020,5630
Australia,AUS,2021,5295
Australia,AUS,2022,5790
Australia,AUS,2023,4600
Canada,CAN,2020,3690
Canada,CAN,2021,4361
Canada,CAN,2022,3060
Canada,CAN,2023,2100
China,CHN,2020,2200
China,CHN,2021,2200
China,CHN,2022,2200
Cuba,CUB,2020,3800
Cuba,CUB,2021,4000
Cuba,CUB,2022,3700
Cuba,CUB,2023,3200
Democratic Republic of Congo,COD,2020,98000
Democratic Republic of Congo,COD,2021,119000
Democratic Republic of Congo,COD,2022,144000
Democratic Republic of Congo,COD,2023,170000
Indonesia,IDN,2020,1100
Indonesia,IDN,2021,2700
Indonesia,IDN,2022,9600
Indonesia,IDN,2023,17000
Madagascar,MDG,2020,850
Madagascar,MDG,2021,2800
Madagascar,MDG,2022,3500
Madagascar,MDG,2023,4000
Morocco,MAR,2020,2300
Morocco,MAR,2021,2300
Morocco,MAR,2022,2300
New Caledonia,NCL,2022,2000
New Caledonia,NCL,2023,3000
Other,,2020,7640
Other,,2021,4567
Other,,2022,6600
Other,,2023,6600
Papua New Guinea,PNG,2020,2940
Papua New Guinea,PNG,2021,2953
Papua New Guinea,PNG,2022,2990
Papua New Guinea,PNG,2023,2900
Philippines,PHL,2020,4500
Philippines,PHL,2021,3600
Philippines,PHL,2022,3900
Philippines,PHL,2023,3800
Russia,RUS,2020,9000
Russia,RUS,2021,8000
Russia,RUS,2022,9200
Russia,RUS,2023,8800
Turkey,TUR,2021,2400
Turkey,TUR,2022,2100
Turkey,TUR,2023,2800
United States,USA,2020,600
United States,USA,2021,650
United States,USA,2022,500
United States,USA,2023,500
World,OWID_WRL,1901,180
World,OWID_WRL,1902,540
World,OWID_WRL,1903,640
World,OWID_WRL,1904,540
World,OWID_WRL,1905,450
World,OWID_WRL,1906,450
World,OWID_WRL,1907,910
World,OWID_WRL,1908,1360
World,OWID_WRL,1909,1450
World,OWID_WRL,1910,1000
World,OWID_WRL,1911,820
World,OWID_WRL,1912,860
World,OWID_WRL,1913,820
World,OWID_WRL,1914,360
World,OWID_WRL,1915,230
World,OWID_WRL,1916,410
World,OWID_WRL,1917,360
World,OWID_WRL,1918,450
World,OWID_WRL,1919,360
World,OWID_WRL,1920,360
World,OWID_WRL,1921,180
World,OWID_WRL,1922,820
World,OWID_WRL,1923,640
World,OWID_WRL,1924,1090
World,OWID_WRL,1925,1090
World,OWID_WRL,1926,820
World,OWID_WRL,1927,1180
World,OWID_WRL,1928,1180
World,OWID_WRL,1929,1360
World,OWID_WRL,1930,1270
World,OWID_WRL,1931,910
World,OWID_WRL,1932,1090
World,OWID_WRL,1933,1270
World,OWID_WRL,1934,1450
World,OWID_WRL,1935,2000
World,OWID_WRL,1936,2720
World,OWID_WRL,1937,3800
World,OWID_WRL,1938,4500
World,OWID_WRL,1939,4500
World,OWID_WRL,1940,5000
World,OWID_WRL,1941,4000
World,OWID_WRL,1942,3500
World,OWID_WRL,1943,4200
World,OWID_WRL,1944,3900
World,OWID_WRL,1945,4700
World,OWID_WRL,1946,3500
World,OWID_WRL,1947,5000
World,OWID_WRL,1948,6100
World,OWID_WRL,1949,5900
World,OWID_WRL,1950,7170
World,OWID_WRL,1951,8440
World,OWID_WRL,1952,10100
World,OWID_WRL,1953,11300
World,OWID_WRL,1954,13100
World,OWID_WRL,1955,13300
World,OWID_WRL,1956,14400
World,OWID_WRL,1957,14400
World,OWID_WRL,1958,12600
World,OWID_WRL,1959,14800
World,OWID_WRL,1960,14200
World,OWID_WRL,1961,14400
World,OWID_WRL,1962,17100
World,OWID_WRL,1963,14500
World,OWID_WRL,1964,17800
World,OWID_WRL,1965,19000
World,OWID_WRL,1966,21800
World,OWID_WRL,1967,20500
World,OWID_WRL,1968,19600
World,OWID_WRL,1969,20200
World,OWID_WRL,1970,24200
World,OWID_WRL,1971,25100
World,OWID_WRL,1972,24800
World,OWID_WRL,1973,29400
World,OWID_WRL,1974,30900
World,OWID_WRL,1975,30800
World,OWID_WRL,1976,21400
World,OWID_WRL,1977,21500
World,OWID_WRL,1978,26800
World,OWID_WRL,1979,29900
World,OWID_WRL,1980,31300
World,OWID_WRL,1981,30700
World,OWID_WRL,1982,24600
World,OWID_WRL,1983,37900
World,OWID_WRL,1984,40900
World,OWID_WRL,1985,47400
World,OWID_WRL,1986,50200
World,OWID_WRL,1987,41200
World,OWID_WRL,1988,43800
World,OWID_WRL,1989,42900
World,OWID_WRL,1990,42300
World,OWID_WRL,1991,33300
World,OWID_WRL,1992,28000
World,OWID_WRL,1993,21900
World,OWID_WRL,1994,18000
World,OWID_WRL,1995,24500
World,OWID_WRL,1996,26200
World,OWID_WRL,1997,27400
World,OWID_WRL,1998,36300
World,OWID_WRL,1999,33900
World,OWID_WRL,2000,39000
World,OWID_WRL,2001,46000
World,OWID_WRL,2002,53400
World,OWID_WRL,2003,54600
World,OWID_WRL,2004,60300
World,OWID_WRL,2005,65200
World,OWID_WRL,2006,70000
World,OWID_WRL,2007,73700
World,OWID_WRL,2008,79900
World,OWID_WRL,2009,81200
World,OWID_WRL,2010,110000
World,OWID_WRL,2011,102000
World,OWID_WRL,2012,96800
World,OWID_WRL,2013,103000
World,OWID_WRL,2014,115000
World,OWID_WRL,2015,122000
World,OWID_WRL,2016,115000
World,OWID_WRL,2017,128000
World,OWID_WRL,2018,149000
World,OWID_WRL,2019,155000
World,OWID_WRL,2020,142000
World,OWID_WRL,2021,165000
World,OWID_WRL,2022,197000
World,OWID_WRL,2023,230000
