Inventory,Impact Category,score,quantity,percentage,name,reference product
"Lithium hydroxide, brine",Climate change ST,2.5418498218098446,43.051318495614396,33.507260584633805,"heat production, natural gas, at industrial furnace >100kW","heat, district or industrial, natural gas"
"Lithium hydroxide, brine",Climate change ST,1.27653958536303,1.1748499550186429,16.827644248039803,"quicklime production, in pieces, loose","quicklime, in pieces, loose"
"Lithium hydroxide, brine",Climate change ST,0.737564249608402,0.7541326967905121,9.72274494641149,"electricity production, hard coal","electricity, high voltage"
"Lithium hydroxide, brine",Climate change ST,0.4461135018024506,3.8696202209134514,5.880772824169025,"heat production, at hard coal industrial furnace 1-10MW","heat, district or industrial, other than natural gas"
"Lithium hydroxide, brine",Climate change ST,0.3919036765656369,0.022462526563008102,5.166166192073017,natural gas venting from petroleum/natural gas production,"natural gas, vented"
"Lithium hydroxide, brine",Climate change ST,0.2558906249504678,3.4443080318930805,3.373210241537848,"diesel, burned in building machine","diesel, burned in building machine"
"Lithium hydroxide, brine",Climate change ST,0.16654904452685304,2.478907134045281,2.1954885718266195,"sweet gas, burned in gas turbine","sweet gas, burned in gas turbine"
"Lithium hydroxide, brine",Climate change ST,0.0964249957329241,0.2459019311637063,1.2710969118524877,"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"Lithium hydroxide, brine",Climate change ST,0.09536516441290109,0.15136573774740758,1.257125966790721,"electricity production, natural gas, conventional power plant","electricity, high voltage"
"Lithium hydroxide, brine",Climate change ST,0.07681050019297772,0.18962114744166308,1.0125340307357893,hard coal mine operation and hard coal preparation,hard coal
"Lithium hydroxide, brine",Total human health,9.379322517125261e-06,43.051318495614396,21.93228627146025,"heat production, natural gas, at industrial furnace >100kW","heat, district or industrial, natural gas"
"Lithium hydroxide, brine",Total human health,5.384616759921828e-06,0.7541326967905121,12.591203258559522,"electricity production, hard coal","electricity, high voltage"
"Lithium hydroxide, brine",Total human health,4.762026587430609e-06,1.1748499550186429,11.135359740230395,"quicklime production, in pieces, loose","quicklime, in pieces, loose"
"Lithium hydroxide, brine",Total human health,3.5407179987784463e-06,1.0499999523162842,8.279493600303459,"lithium carbonate production, Salar de Atacama","lithium carbonate, battery grade"
"Lithium hydroxide, brine",Total human health,3.361067610618661e-06,1.911024554025247,7.859405290651536,"soda production, solvay process","soda ash, light"
