Entity,Code,Year,production|Tin|Smelter|tonnes
Argentina,ARG,1970,120
Argentina,ARG,1971,120
Argentina,ARG,1972,120
Argentina,ARG,1973,120
Argentina,ARG,1974,120
Argentina,ARG,1975,120
Argentina,ARG,1976,120
Argentina,ARG,1977,120
Argentina,ARG,1978,120
Argentina,ARG,1979,120
Argentina,ARG,1980,200
Argentina,ARG,1981,200
Argentina,ARG,1982,200
Argentina,ARG,1983,152
Argentina,ARG,1984,160
Argentina,ARG,1985,231
Argentina,ARG,1986,258
Argentina,ARG,1987,146
Argentina,ARG,1988,188
Argentina,ARG,1989,186
Argentina,ARG,1990,90
Argentina,ARG,1991,100
Argentina,ARG,1992,130
Australia,AUS,1970,5211
Australia,AUS,1971,6333
Australia,AUS,1972,7027
Australia,AUS,1973,6904
Australia,AUS,1974,6714
Australia,AUS,1975,5254
Australia,AUS,1976,5603
Australia,AUS,1977,5561
Australia,AUS,1978,5129
Australia,AUS,1979,5423
Australia,AUS,1980,4819
Australia,AUS,1981,4286
Australia,AUS,1982,3105
Australia,AUS,1983,2913
Australia,AUS,1984,2899
Australia,AUS,1985,2683
Australia,AUS,1986,1399
Australia,AUS,1987,563
Australia,AUS,1988,439
Australia,AUS,1989,424
Australia,AUS,1990,312
Australia,AUS,1991,268
Australia,AUS,1992,240
Australia,AUS,1993,222
Australia,AUS,1994,320
Australia,AUS,1995,570
Australia,AUS,1996,460
Australia,AUS,1997,605
Australia,AUS,1998,684
Australia,AUS,1999,586
Australia,AUS,2000,733
Australia,AUS,2001,1094
Australia,AUS,2002,791
Australia,AUS,2003,597
Australia,AUS,2004,467
Australia,AUS,2005,594
Australia,AUS,2006,572
Australia,AUS,2007,118
Australia,AUS,2013,0
Australia,AUS,2014,14
Australia,AUS,2015,22
Australia,AUS,2016,41
Australia,AUS,2017,21
Australia,AUS,2018,82
Australia,AUS,2019,99
Australia,AUS,2020,112
Australia,AUS,2021,73
Australia,AUS,2022,106
Belgium,BEL,1970,4257
Belgium,BEL,1971,3940
Belgium,BEL,1972,3923
Belgium,BEL,1973,3669
Belgium,BEL,1974,3418
Belgium,BEL,1975,4562
Belgium,BEL,1976,4068
Belgium,BEL,1977,3520
Belgium,BEL,1978,3295
Belgium,BEL,1979,2165
Belgium,BEL,1980,2822
Belgium,BEL,1994,7800
Belgium,BEL,1995,6300
Belgium,BEL,1996,8200
Belgium,BEL,1997,8000
