Entity,Code,Year,reserves|Fluorspar|Mine|tonnes
China,CHN,2022,49000000
China,CHN,2023,67000000
Iran,IRN,2022,3400000
Iran,IRN,2023,4500000
Mexico,MEX,2022,68000000
Mexico,MEX,2023,68000000
Mongolia,MNG,2022,22000000
Mongolia,MNG,2023,34000000
Other,,2022,55000000
Other,,2023,50000000
South Africa,ZAF,2022,41000000
South Africa,ZAF,2023,41000000
Spain,ESP,2022,10000000
Spain,ESP,2023,15000000
United States,USA,2022,4000000
Vietnam,VNM,2022,5000000
Vietnam,VNM,2023,3400000
World,OWID_WRL,2022,260000000
World,OWID_WRL,2023,280000000
