Raw material,Climate change ST (kg CO2 eq (short)),Total human health (DALY),Total ecosystem quality (PDF.m2.yr)
"Lithium hydroxide, brine",7.585967272345503,4.276491014678328e-05,8.137542282430195
"Lithium hydroxide, spodumene",16.80524885838204,9.38245036076861e-05,20.7326824898133
Cobalt,13.883368656844361,0.00010592529593964062,16.93564081462434
Nickel,5.293180210775345,5.1638906064605406e-05,12.337031339203964
"Graphite, natural",10.50966111882381,4.400633033688553e-05,11.885710443991352
"Graphite, synthetic",42.905512160018816,0.00019472034841876845,45.94744113203279
"Lithium carbonate, brine",3.5408947062044382,2.4185858218888018e-05,3.948616255746986
"Lithium carbonate, spodumene",23.842043089431986,0.00012849148149487446,29.96647921337376
Neodymium,54.76430244806624,0.0002371346118672825,135.82105009151078
"Copper concentrate, Canada",1.206273292936233,2.4684488972944677e-05,11.413221525102353
"Market for copper, cathode",6.880892380013889,0.00026266001367550654,39.84384703125016
