Entity,Code,Year,unit value|Tantalum|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1964,92100
World,OWID_WRL,1965,108000
World,OWID_WRL,1966,176000
World,OWID_WRL,1967,135000
World,OWID_WRL,1968,82200
World,OWID_WRL,1969,85300
World,OWID_WRL,1970,80700
World,OWID_WRL,1971,70400
World,OWID_WRL,1972,59300
World,OWID_WRL,1973,78900
World,OWID_WRL,1974,125000
World,OWID_WRL,1975,131000
World,OWID_WRL,1976,136000
World,OWID_WRL,1977,178000
World,OWID_WRL,1978,265000
World,OWID_WRL,1979,559000
World,OWID_WRL,1980,562000
World,OWID_WRL,1981,181000
World,OWID_WRL,1982,102000
World,OWID_WRL,1983,130000
World,OWID_WRL,1984,135000
World,OWID_WRL,1985,92700
World,OWID_WRL,1986,87000
World,OWID_WRL,1987,100000
World,OWID_WRL,1988,186000
World,OWID_WRL,1989,95600
World,OWID_WRL,1990,111000
World,OWID_WRL,1991,91000
World,OWID_WRL,1992,90700
World,OWID_WRL,1993,79000
World,OWID_WRL,1994,77800
World,OWID_WRL,1995,79900
World,OWID_WRL,1996,77600
World,OWID_WRL,1997,90200
World,OWID_WRL,1998,91400
World,OWID_WRL,1999,89400
World,OWID_WRL,2000,559000
World,OWID_WRL,2001,91600
World,OWID_WRL,2002,82000
World,OWID_WRL,2003,71100
World,OWID_WRL,2004,66400
World,OWID_WRL,2005,75800
World,OWID_WRL,2006,70700
World,OWID_WRL,2007,78700
World,OWID_WRL,2008,89200
World,OWID_WRL,2009,82200
World,OWID_WRL,2010,109000
World,OWID_WRL,2011,244000
World,OWID_WRL,2012,207000
World,OWID_WRL,2013,222000
World,OWID_WRL,2014,185000
World,OWID_WRL,2015,162000
World,OWID_WRL,2016,160000
World,OWID_WRL,2017,157000
World,OWID_WRL,2018,170000
World,OWID_WRL,2019,125000
World,OWID_WRL,2020,122000
