Entity,Code,Year,unit value|Nickel|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1900,22000
World,OWID_WRL,1901,24000
World,OWID_WRL,1902,19000
World,OWID_WRL,1903,16000
World,OWID_WRL,1904,16000
World,OWID_WRL,1905,16000
World,OWID_WRL,1906,16000
World,OWID_WRL,1907,17000
World,OWID_WRL,1908,18000
World,OWID_WRL,1909,16000
World,OWID_WRL,1910,15000
World,OWID_WRL,1911,15000
World,OWID_WRL,1912,15000
World,OWID_WRL,1913,15300
World,OWID_WRL,1914,14700
World,OWID_WRL,1915,14600
World,OWID_WRL,1916,13800
World,OWID_WRL,1917,11800
World,OWID_WRL,1918,9760
World,OWID_WRL,1919,8320
World,OWID_WRL,1920,7530
World,OWID_WRL,1921,8420
World,OWID_WRL,1922,8140
World,OWID_WRL,1923,7560
World,OWID_WRL,1924,6300
World,OWID_WRL,1925,6800
World,OWID_WRL,1926,7280
World,OWID_WRL,1927,7220
World,OWID_WRL,1928,7770
World,OWID_WRL,1929,7350
World,OWID_WRL,1930,7570
World,OWID_WRL,1931,8270
World,OWID_WRL,1932,9190
World,OWID_WRL,1933,9670
World,OWID_WRL,1934,9390
World,OWID_WRL,1935,9190
World,OWID_WRL,1936,9050
World,OWID_WRL,1937,8740
World,OWID_WRL,1938,8930
World,OWID_WRL,1939,9050
World,OWID_WRL,1940,8990
World,OWID_WRL,1941,8560
World,OWID_WRL,1942,7050
World,OWID_WRL,1943,6650
World,OWID_WRL,1944,6530
World,OWID_WRL,1945,6410
World,OWID_WRL,1946,6430
World,OWID_WRL,1947,5640
World,OWID_WRL,1948,5370
World,OWID_WRL,1949,6040
World,OWID_WRL,1950,6700
World,OWID_WRL,1951,7440
World,OWID_WRL,1952,7730
World,OWID_WRL,1953,8050
World,OWID_WRL,1954,8180
World,OWID_WRL,1955,8900
World,OWID_WRL,1956,8560
World,OWID_WRL,1957,9480
World,OWID_WRL,1958,9210
World,OWID_WRL,1959,9110
World,OWID_WRL,1960,8960
World,OWID_WRL,1961,9400
World,OWID_WRL,1962,9510
World,OWID_WRL,1963,9260
World,OWID_WRL,1964,9160
World,OWID_WRL,1965,9020
World,OWID_WRL,1966,8740
World,OWID_WRL,1967,9460
World,OWID_WRL,1968,9810
World,OWID_WRL,1969,10300
World,OWID_WRL,1970,11900
World,OWID_WRL,1971,11800
World,OWID_WRL,1972,12100
World,OWID_WRL,1973,12400
World,OWID_WRL,1974,12700
World,OWID_WRL,1975,13800
World,OWID_WRL,1976,14200
World,OWID_WRL,1977,13400
World,OWID_WRL,1978,11300
World,OWID_WRL,1979,13200
World,OWID_WRL,1980,12300
World,OWID_WRL,1981,10700
World,OWID_WRL,1982,8130
World,OWID_WRL,1983,7650
World,OWID_WRL,1984,7490
World,OWID_WRL,1985,7540
World,OWID_WRL,1986,5770
World,OWID_WRL,1987,6940
World,OWID_WRL,1988,19000
World,OWID_WRL,1989,17500
World,OWID_WRL,1990,11100
World,OWID_WRL,1991,9760
World,OWID_WRL,1992,8130
World,OWID_WRL,1993,5970
World,OWID_WRL,1994,6970
World,OWID_WRL,1995,8800
World,OWID_WRL,1996,7790
World,OWID_WRL,1997,7040
World,OWID_WRL,1998,4630
World,OWID_WRL,1999,5880
World,OWID_WRL,2000,8180
World,OWID_WRL,2001,5470
World,OWID_WRL,2002,6130
World,OWID_WRL,2003,8530
World,OWID_WRL,2004,11900
World,OWID_WRL,2005,12300
World,OWID_WRL,2006,19600
World,OWID_WRL,2007,29300
World,OWID_WRL,2008,16000
World,OWID_WRL,2009,11100
World,OWID_WRL,2010,16300
World,OWID_WRL,2011,16600
World,OWID_WRL,2012,12400
World,OWID_WRL,2013,10500
World,OWID_WRL,2014,11600
World,OWID_WRL,2015,8140
World,OWID_WRL,2016,6520
World,OWID_WRL,2017,6920
World,OWID_WRL,2018,8510
World,OWID_WRL,2019,7570
World,OWID_WRL,2020,8670
