DEPOSIT_GROUP,DEPOSIT_TYPE,PRIMARY_COMMODITIES,count,countries
Epithermal,HS epithermal Ag-Au ± Cu,Ag,2,"PER, USA"
Epithermal,"IS epithermal Ag-Au ± Zn, Pb, Cu, Sn, Mn",Ag,3,USA
IOCG,Magnetite-dominant IOCG,Ag,4,"AUS, CHL"
Orogenic,Orogenic Ag-Pb-Zn-Cu-Sb,Ag,2,USA
Porphyry,Porphyry Cu ± Au,Ag,9,AUS
Replacement,Replacement polymetallic,Ag,6,"PER, USA"
Sediment-hosted,Siliciclastic-carbonate Zn-Pb,Ag,30,AUS
Vein,Vein polymetallic,Ag,1,USA
Carlin-type,Carlin-type Au,"Ag, Au",3,USA
Carlin-type,Carlin-type gold,"Ag, Au",3,USA
Distal-disseminated,Distal-disseminated Ag-Au,"Ag, Au",15,USA
Epithermal,Alkalic epithermal Au ± Ag,"Ag, Au",61,"PNG, USA"
Epithermal,HS epithermal Ag-Au ± Cu,"Ag, Au",33,USA
Epithermal,HS epithermal Ag-Au Â± Cu,"Ag, Au",6,PHL
Epithermal,"IS epithermal Ag-Au ± Zn, Pb, Cu, Sn, Mn","Ag, Au",6,USA
Epithermal,LS epithermal Au-Ag,"Ag, Au",241,"AUS, JPN, NZL, ROU, USA"
Intrusion-related,Reduced intrusion-related Au,"Ag, Au",9,AUS
Orogenic,Orogenic Ag-Pb-Zn-Cu-Sb,"Ag, Au",1,USA
Placer,Heavy mineral sands,"Ag, Au",3,DOM
Vein,Vein polymetallic,"Ag, Au",1,USA
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Ag, Au, Cu, Zn",44,USA
Epithermal,"IS epithermal Ag-Au Â± Zn, Pb, Cu, Sn, Mn","Ag, Au, Cu, Zn, Pb",6,USA
Epithermal,"IS epithermal Ag-Au ± Zn, Pb, Cu, Sn, Mn","Ag, Au, Pb",2,MEX
Orogenic,Hypozonal orogenic Au,"Ag, Au, Pb",1,USA
Vein,Vein polymetallic,"Ag, Au, Pb",13,USA
Skarn,Skarn zinc-lead-silver,"Ag, Au, Pb, Zn",1,AUS
Peralkaline igneous,Peralkaline igneous HFSE-REE,"Ag, Au, Perl",7,USA
Replacement,Replacement polymetallic,"Ag, Au, Zn, Pb",7,USA
Vein,Vein polymetallic,"Ag, Au, Zn, Pb",1,USA
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Ag, Ba, Pb, Zn",2,USA
Epithermal,Alkalic epithermal Au ± Ag,"Ag, Brt",3,USA
Mississippi Valley-type (MVT),MVT Zn-Pb,"Ag, Cu",1,USA
Orogenic,Orogenic Cu ± Au,"Ag, Cu",6,COD
Sediment-hosted,Sediment-hosted Cu ± Co,"Ag, Cu",3,USA
Epithermal,LS epithermal Au-Ag,"Ag, Cu, Au",4,USA
Porphyry,Vein polymetallic,"Ag, Cu, Pb, Zn",2,USA
Replacement,Replacement polymetallic,"Ag, Cu, Pb, Zn",1,USA
Vein,Vein polymetallic,"Ag, Cu, Pb, Zn",1,USA
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Ag, Cu, Pb, Zn",4,USA
Replacement,Replacement polymetallic,"Ag, Cu, Zn, Au, Pb",1,USA
Vein,Vein polymetallic,"Ag, Cu, Zn, Au, Pb",2,USA
Epithermal,"IS epithermal Ag-Au ± Zn, Pb, Cu, Sn, Mn","Ag, Pb",7,USA
Orogenic,Orogenic Ag-Pb-Zn-Cu-Sb,"Ag, Pb",6,USA
Replacement,Replacement polymetallic,"Ag, Pb",2,USA
Vein,Vein polymetallic,"Ag, Pb, Au",1,USA
Epithermal,"IS epithermal Ag-Au Â± Zn, Pb, Cu, Sn, Mn","Ag, Pb, Cu, Zn, Au",9,USA
Replacement,Replacement polymetallic,"Ag, Pb, Zn",1,USA
Skarn,Skarn Cu,"Ag, Pb, Zn",1,CAN
Vein,Vein polymetallic,"Ag, Pb, Zn",1,USA
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Ag, Pb, Zn",2,USA
Replacement,Replacement polymetallic,"Ag, Pb, Zn, Au",6,USA
Skarn,Skarn Zn-Pb-Ag,"Ag, Pb, Zn, V",1,MEX
Intrusion-related,Oxidized intrusion-related Au,"Ag, Sb, Au",3,VNM
Volcanogenic massive sulfide (VMS),Felsic-siliciclastic VMS,"Ag, Tlc, Zn",5,SWE
Sediment-hosted,Siliciclastic-carbonate Zn-Pb,"Ag, Zn",13,USA
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Ag, Zn, Au, Pb",16,USA
Epithermal,"IS epithermal Ag-Au ± Zn, Pb, Cu, Sn, Mn","Ag, Zn, Cu",1,AUS
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Ag, Zn, Cu",2,AUS
Replacement,Replacement polymetallic,"Ag, Zn, Pb, Au",2,USA
Mississippi Valley-type (MVT),MVT Zn-Pb,"Aggr, Zn",6,USA
Vein,Vein Sn,"As, Sn",1,AUS
Laterite,Laterite Ni,Asb,4,USA
Black shale,Black shale V ± Mo ± Ni,Au,1,USA
Carlin-type,Carlin-type Au,Au,348,"LAO, MMR, USA"
Carlin-type,Carlin-type gold,Au,6,USA
Epithermal,Alkalic epithermal Au ± Ag,Au,115,"PNG, USA"
Epithermal,HS epithermal Ag-Au ± Cu,Au,437,USA
Epithermal,High-sulfidation (HS) epithermal Ag-Au ± Cu,Au,1,AUS
Epithermal,"IS epithermal Ag-Au ± Zn, Pb, Cu, Sn, Mn",Au,12,USA
Epithermal,"IS epithermal Ag-Au Â± Zn, Pb, Cu, Sn, Mn",Au,9,PHL
Epithermal,LS epithermal Au-Ag,Au,156,"AUS, CHN, IDN, NZL, PNG, USA"
IOCG,Hematite-dominant IOCG,Au,2,USA
IOCG,Magnetite-dominant IOCG,Au,16,AUS
Intrusion-related,Oxidized intrusion-related Au,Au,27,"AUS, CHN, LAO, MMR"
Intrusion-related,Reduced intrusion-related Au,Au,111,"AUS, USA"
Metasomatic iron,Iron oxide Au,Au,189,AUS
Metasomatic iron,Iron silicate polymetallic,Au,5,"BRA, USA"
Mississippi Valley-type (MVT),MVT Zn-Pb,Au,1,USA
Orogenic,Epizonal orogenic Au,Au,143,"AUS, USA"
Orogenic,Epizonal orogenic Sb ± Au,Au,9,AUS
Orogenic,Hypozonal orogenic Au,Au,76,"AUS, USA"
Orogenic,Mesozonal orogenic Au,Au,856,"AUS, AUT, BRA, CHN, COD, EGY, FIN, GHA, GIN, MLI, SEN, UGA, USA, ZAF"
Placer,Heavy mineral sands,Au,9,"PER, PHL"
Placer,Paleoplacer Au ± U,Au,1,BRA
Porphyry,Porphyry Cu ± Au,Au,3,"CHL, USA"
Replacement,Replacement polymetallic,Au,2,USA
Skarn,Skarn Au ± Cu ± W,Au,11,"AUS, USA"
Skarn,Skarn Sn ± Cu ± Mo,Au,1,USA
Skarn,Skarn Zn-Pb-Ag,Au,1,USA
Unconformity-related,Unconformity-related U,Au,11,AUS
Vein,Vein polymetallic,Au,14,USA
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,Au,9,"AUS, USA"
Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,Au,1,USA
unknown,unknown,Au,2,"AUS, USA"
Carlin-type,Carlin-type Au,"Au, Ag",212,USA
Carlin-type,Carlin-type gold,"Au, Ag",119,USA
Epithermal,HS epithermal Ag-Au ± Cu,"Au, Ag",4,"CHL, USA"
Epithermal,"IS epithermal Ag-Au ± Zn, Pb, Cu, Sn, Mn","Au, Ag",14,USA
Epithermal,LS epithermal Au-Ag,"Au, Ag",51,"IDN, USA"
Intrusion-related,Reduced intrusion-related Au,"Au, Ag",15,AUS
Metasomatic iron,Iron oxide Au,"Au, Ag",1,AUS
Orogenic,Mesozonal orogenic Au,"Au, Ag",4,AUS
Porphyry,Porphyry Au ± Cu,"Au, Ag",4,MEX
Skarn,Skarn Zn-Pb-Ag,"Au, Ag",1,USA
Supergene,Supergene Ag,"Au, Ag",1,USA
Vein,Vein polymetallic,"Au, Ag",2,USA
Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,"Au, Ag",1,USA
Orogenic,Hypozonal orogenic Au,"Au, Ag, Cu",6,ZWE
Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,"Au, Ag, Cu, Zn",4,USA
Vein,Vein polymetallic,"Au, Ag, Pb, Mn, Cu, Sn, Zn",3,CHL
Replacement,Replacement polymetallic,"Au, Ag, Pb, Zn, Cu",1,HND
Vein,Vein polymetallic,"Au, Ag, Zn",2,USA
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Au, Ag, Zn, Cu",6,RUS
Carlin-type,Carlin-type Au,"Au, As, Ag",18,USA
Metasomatic iron,Iron oxide Au,"Au, Bi, Cu",33,AUS
IOCG,Magnetite-dominant IOCG,"Au, Cu",26,"AUS, CHL, MRT"
Intrusion-related,Oxidized intrusion-related Au,"Au, Cu",23,AUS
Intrusion-related,Reduced intrusion-related Au,"Au, Cu",38,AUS
Metasomatic iron,Iron sulfide polymetallic,"Au, Cu",1,AUS
Orogenic,Mesozonal orogenic Au,"Au, Cu",21,AUS
Orogenic,Orogenic Cu ± Au,"Au, Cu",1,AUS
Placer,Heavy mineral sands,"Au, Cu",6,MMR
Porphyry,Porphyry Cu ± Au,"Au, Cu",24,"AUS, PHL"
Porphyry,Porphyry Cu Â± Au,"Au, Cu",9,USA
Porphyry,Porphyry Cu-Mo,"Au, Cu",6686,USA
Replacement,Replacement Cu,"Au, Cu",9,LAO
Replacement,Replacement polymetallic,"Au, Cu",4,USA
Sediment-hosted,Sediment-hosted Cu ± Co,"Au, Cu",6,ZMB
Skarn,Skarn Cu,"Au, Cu",3,LAO
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Au, Cu",3,BRA
Epithermal,"IS epithermal Ag-Au Â± Zn, Pb, Cu, Sn, Mn","Au, Cu, Ag",6,PHL
Epithermal,LS epithermal Au-Ag,"Au, Cu, Ag",6,PNG
Orogenic,Mesozonal orogenic Au,"Au, Cu, Ag",6,AUS
Porphyry,Porphyry Cu ± Au,"Au, Cu, Ag",17,"IDN, USA"
