Commodity,Deposit Type,Count,Countries
Aluminum,Hydrothermal,3,"Kazakhstan, Russia"
Aluminum,Igneous,5,"Mongolia, Russia, Ukraine"
Aluminum,Metamorphic,1,Kazakhstan
Aluminum,Sedimentary,7,"Kazakhstan, Russia"
Aluminum,Surficial,57,"Afghanistan, Australia, Brazil, Cambodia, Cameroon, China, Egypt, Ghana, Greece, Guinea, Guyana, Hungary, India, Indonesia, Jamaica, Kazakhstan, Laos, Malawi, Mali, Saudi Arabia, Sierra Leone, Surinam, Venezuela"
"Aluminum, Iron, Titanium",Surficial,1,Ghana
Alunite,Igneous,1,Uzbekistan
Amber,Metamorphic,1,Cyprus
Andalusite,Unclassified,1,France
anhydrite,Sedimentary,1,United States
Antimony,Hydrothermal,6,"Armenia, Kyrgyzstan, Morocco, Tajikistan"
Antimony,Au-Sb,10,"Australia, Bolivia, Czech Republic, France, Portugal, Russia"
Antimony,Deposit type unclassified,13,"Argentina, Austria, Bolivia, China, Kyrgyzstan, Malaysia, Myanmar, Serbia, Turkey, United States of America"
Antimony,Disseminated Sb,2,"Canada, Mexico"
Antimony,Sb-Hg,1,Kyrgyzstan
Antimony,Simple Quartz-Stibnite,2,"China, South Africa"
Antimony,Simple Sb,6,"Australia, Canada, France, Mexico, United States of America"
"Antimony, Gold",Hydrothermal,1,South Africa
"Antimony, gold",Hydrothermal,1,Bolivia
"Antimony, Gold, Silver",Hydrothermal,1,South Africa
Arsenic,Hydrothermal,1,Kyrgyzstan
Asbestos,Hydrothermal,2,"Greece, Italy"
Asbestos,Metamorphic,33,"Canada, Egypt, Kazakhstan, Mozambique, Russia, South Africa, Swaziland, Zimbabwe"
asbestos,Metamorphic,1,United States
"attapulgite (palygorskite, fuller's earth)",Sedimentary,1,United States
Barite,Hydrothermal,18,"Afghanistan, Algeria, China, Germany, Iran, Mexico, Morocco"
Barite,Sedimentary,6,"Australia, Bosnia-Herzegovina, China, India"
barite,Sedimentary,6,United States
barite,Surficial,2,United States
Barite,Bedded-sedimentary,18,"Argentina, Brazil, Canada, China, Cuba, India, Italy, Kazakhstan, Mexico, Pakistan, South Africa, Thailand, United States of America"
Barite,Bedded-volcanic,5,"Iran, Japan, Kazakhstan, Russia, United States of America"
Barite,Residual,2,United States of America
Barite,"Vein, cavity-fill, metasomatic",8,"Australia, France, Georgia, Morocco, Turkey, Vietnam"
Barite; Gallium,Bedded-sedimentary; Ga in Clastic-dominated Pb-Zn,1,Germany
Barite; Gallium,"Bedded-volcanic; Ga in Volcanogenic Massive Sulfide, Kuroko type",1,Australia
Barite; Gallium; Germanium,Bedded-sedimentary; Ga in Clastic-dominated Pb-Zn; Sedimentary exhalative Pb-Zn,1,United States of America
