Entity,Code,Year,unit value|Manganese|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1900,450
World,OWID_WRL,1901,510
World,OWID_WRL,1902,500
World,OWID_WRL,1903,790
World,OWID_WRL,1904,430
World,OWID_WRL,1905,520
World,OWID_WRL,1906,870
World,OWID_WRL,1907,810
World,OWID_WRL,1908,480
World,OWID_WRL,1909,520
World,OWID_WRL,1910,530
World,OWID_WRL,1911,510
World,OWID_WRL,1912,420
World,OWID_WRL,1913,462.23288
World,OWID_WRL,1914,447.03494
World,OWID_WRL,1915,473.71027
World,OWID_WRL,1916,743.5294
World,OWID_WRL,1917,594.5937
World,OWID_WRL,1918,797.05444
World,OWID_WRL,1919,758.9505
World,OWID_WRL,1920,465.7572
World,OWID_WRL,1921,168.84738
World,OWID_WRL,1922,316.97162
World,OWID_WRL,1923,402.20773
World,OWID_WRL,1924,341.01044
World,OWID_WRL,1925,375.39844
World,OWID_WRL,1926,359.159
World,OWID_WRL,1927,326.0165
World,OWID_WRL,1928,351.96396
World,OWID_WRL,1929,364.44403
World,OWID_WRL,1930,321.56488
World,OWID_WRL,1931,279.96304
World,OWID_WRL,1932,421.3983
World,OWID_WRL,1933,487.60367
World,OWID_WRL,1934,352.73257
World,OWID_WRL,1935,368.7338
World,OWID_WRL,1936,319.28906
World,OWID_WRL,1937,310.36716
World,OWID_WRL,1938,409.39337
World,OWID_WRL,1939,414.84402
World,OWID_WRL,1940,367.74368
World,OWID_WRL,1941,380.06436
World,OWID_WRL,1942,345.6464
World,OWID_WRL,1943,336.29443
World,OWID_WRL,1944,404.76437
World,OWID_WRL,1945,446.3482
World,OWID_WRL,1946,410.8725
World,OWID_WRL,1947,375.4968
World,OWID_WRL,1948,362.86868
World,OWID_WRL,1949,398.05768
World,OWID_WRL,1950,477.57748
World,OWID_WRL,1951,460.14648
World,OWID_WRL,1952,517.4383
World,OWID_WRL,1953,587.6594
World,OWID_WRL,1954,538.9665
World,OWID_WRL,1955,498.3494
World,OWID_WRL,1956,573.6111
World,OWID_WRL,1957,704.03674
World,OWID_WRL,1958,612.1865
World,OWID_WRL,1959,569.87836
World,OWID_WRL,1960,523.42865
World,OWID_WRL,1961,562.9827
World,OWID_WRL,1962,473.2771
World,OWID_WRL,1963,399.73004
World,OWID_WRL,1964,414.77548
World,OWID_WRL,1965,398.058
World,OWID_WRL,1966,404.38156
World,OWID_WRL,1967,386.50208
World,OWID_WRL,1968,333.48123
World,OWID_WRL,1969,286.86575
World,OWID_WRL,1970,283.9115
World,OWID_WRL,1971,293.4723
World,OWID_WRL,1972,338.9196
World,OWID_WRL,1973,357.71942
World,OWID_WRL,1974,528.5297
World,OWID_WRL,1975,640.0622
World,OWID_WRL,1976,705.5343
World,OWID_WRL,1977,722.25885
World,OWID_WRL,1978,719.8424
World,OWID_WRL,1979,714.85895
World,OWID_WRL,1980,699.86884
World,OWID_WRL,1981,647.04193
World,OWID_WRL,1982,750.4204
World,OWID_WRL,1983,594.4946
World,OWID_WRL,1984,632.8816
World,OWID_WRL,1985,596.3317
World,OWID_WRL,1986,557.11383
World,OWID_WRL,1987,564.8742
World,OWID_WRL,1988,670.37585
World,OWID_WRL,1989,797.7686
World,OWID_WRL,1990,857.8819
World,OWID_WRL,1991,965.7902
World,OWID_WRL,1992,760.081
World,OWID_WRL,1993,682.4567
World,OWID_WRL,1994,662.1188
World,OWID_WRL,1995,640.6627
World,OWID_WRL,1996,675.2709
World,OWID_WRL,1997,644.891
World,OWID_WRL,1998,591
World,OWID_WRL,1999,523.4394
World,OWID_WRL,2000,550.90594
World,OWID_WRL,2001,486.88312
World,OWID_WRL,2002,426.75375
World,OWID_WRL,2003,530.63586
World,OWID_WRL,2004,940.55054
World,OWID_WRL,2005,594.24475
World,OWID_WRL,2006,646.8254
World,OWID_WRL,2007,935.6971
World,OWID_WRL,2008,1801.8579
World,OWID_WRL,2009,1041.0723
World,OWID_WRL,2010,1121.0454
World,OWID_WRL,2011,1058.1592
World,OWID_WRL,2012,993.90247
World,OWID_WRL,2013,832.48926
World,OWID_WRL,2014,915.8851
World,OWID_WRL,2015,784.05066
World,OWID_WRL,2016,624.8333
World,OWID_WRL,2017,944.34924
World,OWID_WRL,2018,973.71564
World,OWID_WRL,2019,828.7055
World,OWID_WRL,2020,699.11127
World,OWID_WRL,2021,857
World,OWID_WRL,2022,1110
