Entity,Code,Year,unit value|Magnesium metal|Smelter|constant 1998 US$ per tonne
World,OWID_WRL,1915,179000
World,OWID_WRL,1916,136000
World,OWID_WRL,1917,56700
World,OWID_WRL,1918,43100
World,OWID_WRL,1919,38000
World,OWID_WRL,1920,28700
World,OWID_WRL,1921,32100
World,OWID_WRL,1922,34300
World,OWID_WRL,1923,26300
World,OWID_WRL,1924,22500
World,OWID_WRL,1925,17800
World,OWID_WRL,1926,16100
World,OWID_WRL,1927,14000
World,OWID_WRL,1928,11500
World,OWID_WRL,1929,12000
World,OWID_WRL,1930,10400
World,OWID_WRL,1931,7080
World,OWID_WRL,1932,7610
World,OWID_WRL,1933,7730
World,OWID_WRL,1934,6970
World,OWID_WRL,1935,6820
World,OWID_WRL,1936,6720
World,OWID_WRL,1937,7490
World,OWID_WRL,1938,7640
World,OWID_WRL,1939,7750
World,OWID_WRL,1940,6930
World,OWID_WRL,1941,5620
World,OWID_WRL,1942,5070
World,OWID_WRL,1943,4370
World,OWID_WRL,1944,4290
World,OWID_WRL,1945,4210
World,OWID_WRL,1946,3860
World,OWID_WRL,1947,3380
World,OWID_WRL,1948,3130
World,OWID_WRL,1949,3170
World,OWID_WRL,1950,3720
World,OWID_WRL,1951,3440
World,OWID_WRL,1952,3650
World,OWID_WRL,1953,3630
World,OWID_WRL,1954,3740
World,OWID_WRL,1955,4370
World,OWID_WRL,1956,4650
World,OWID_WRL,1957,4650
World,OWID_WRL,1958,4510
World,OWID_WRL,1959,4460
World,OWID_WRL,1960,4390
World,OWID_WRL,1961,4370
World,OWID_WRL,1962,4320
World,OWID_WRL,1963,4250
World,OWID_WRL,1964,4210
World,OWID_WRL,1965,4140
World,OWID_WRL,1966,4020
World,OWID_WRL,1967,3900
World,OWID_WRL,1968,3750
World,OWID_WRL,1969,3550
World,OWID_WRL,1970,3360
World,OWID_WRL,1971,3220
World,OWID_WRL,1972,3200
World,OWID_WRL,1973,3100
World,OWID_WRL,1974,5460
World,OWID_WRL,1975,5480
World,OWID_WRL,1976,5820
World,OWID_WRL,1977,5860
World,OWID_WRL,1978,5580
World,OWID_WRL,1979,5390
World,OWID_WRL,1980,5460
World,OWID_WRL,1981,5290
World,OWID_WRL,1982,5220
World,OWID_WRL,1983,4980
World,OWID_WRL,1984,5120
World,OWID_WRL,1985,5110
World,OWID_WRL,1986,5010
World,OWID_WRL,1987,4840
World,OWID_WRL,1988,4950
World,OWID_WRL,1989,4720
World,OWID_WRL,1990,3930
World,OWID_WRL,1991,3770
World,OWID_WRL,1992,3850
World,OWID_WRL,1993,3620
World,OWID_WRL,1994,3950
World,OWID_WRL,1995,4930
World,OWID_WRL,1996,4010
World,OWID_WRL,1997,3700
World,OWID_WRL,1998,3460
World,OWID_WRL,1999,3180
World,OWID_WRL,2000,2640
World,OWID_WRL,2001,2530
World,OWID_WRL,2002,2320
World,OWID_WRL,2003,2210
World,OWID_WRL,2004,2990
World,OWID_WRL,2005,2240
World,OWID_WRL,2006,2500
World,OWID_WRL,2007,3900
World,OWID_WRL,2008,5260
World,OWID_WRL,2009,3850
World,OWID_WRL,2010,4000
World,OWID_WRL,2011,3400
World,OWID_WRL,2012,3440
World,OWID_WRL,2013,3270
World,OWID_WRL,2014,3260
World,OWID_WRL,2015,3260
World,OWID_WRL,2016,3220
World,OWID_WRL,2017,3150
World,OWID_WRL,2018,3220
World,OWID_WRL,2019,3940
World,OWID_WRL,2020,3230
World,OWID_WRL,2021,8720
World,OWID_WRL,2022,7370
